السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,4,الربع الرابع,20244,الرياض,الرياض,إشبيلية,شقة,41,23212315.53,6342.321,3517.203938,6256.68,1626.08
2024,4,الربع الرابع,20244,الرياض,الرياض,البديعة,شقة,17,13514216,1739.1,7615.982795,8207.72,7319.72
2024,4,الربع الرابع,20244,الرياض,الرياض,أم الحمام الشرقي,شقة,1,900000,74.24,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الرياض,الرياض,أم الحمام الغربي,شقة,2,1890000,166.21,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الرياض,الرياض,البيان,شقة,32,21740855,3949.23,5450.478828,8008.21,4135.4
2024,4,الربع الرابع,20244,الرياض,الرياض,التعاون,شقة,7,7280000,852.15,8405.234169,9189.07,7661.34
2024,4,الربع الرابع,20244,الرياض,الرياض,الخليج,شقة,25,19754049,3361.52,6014.067179,6707.55,5020.75
2024,4,الربع الرابع,20244,الرياض,الرياض,أحد,شقة,17,6169000,2124.88,2907.853239,3292.42,2665.96
2024,4,الربع الرابع,20244,الرياض,الرياض,الخالدية,شقة,1,400000,168.25,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الرياض,الرياض,الخزامى,شقة,3,4585105.8,427.48,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الرياض,الرياض,الربيع,شقة,20,21404000,3052.9,6235.235672,6622.03,6016.09
2024,4,الربع الرابع,20244,الرياض,الرياض,الرفيعة,شقة,1,720000,132.99,NULL,NULL,NULL
2024,4,الربع الرابع,20244,الرياض,الرياض,الأندلس,شقة,31,19803587.48,3715.73,5862.555221,7031.07,4754.77
2024,4,الربع الرابع,20244,الرياض,الرياض,السليمانية,شقة,31,40599627,3670.95,11030.43414,12289.05,9631.8
2024,4,الربع الرابع,20244,الرياض,الرياض,الشهداء,شقة,19,21455668,2457.59,8587.93584,10451.34,7716.33
