Date;City;Station;Component;Value;Unit;Indicator;Periodicity;Quarter
2019-09-27;Riyadh;At-Taawun;NO2;7.84;ppb;Avg / Hourly;Daily;
2019-10-19;Riyadh;Al-Uraija;SO2;0.2;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;Al-Jazeera;SO2;2.4;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;Al-Jazeera;SO2;5.6;ppb;Max / Hourly;Daily;
2019-10-19;Riyadh;Al-Muruj;SO2;1.9;ppb;Max / Hourly;Daily;
2019-10-19;Riyadh;Al-Khalidiya;SO2;3.1;ppb;Max / Hourly;Daily;
2019-10-19;Riyadh;Ar-Rawabi;SO2;1.75;ppb;Avg / Hourly;Daily;
2019-10-19;Riyadh;Al-Uraija;NO2;4.3;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;At-Taawun;NO2;29.5;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;Al-Khalidiya;NO2;31.3;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;Al-Jazeera;NO2;55.9;ppb;Max / Hourly;Daily;
2019-10-19;Riyadh;At-Taawun;NO2;106.9;ppb;Max / Hourly;Daily;
2019-10-19;Riyadh;Ar-Rawabi;NO2;8.01;ppb;Avg / Hourly;Daily;
2019-10-19;Riyadh;At-Taawun;NO2;58.62;ppb;Avg / Hourly;Daily;
2019-10-19;Riyadh;Al-Khaleej;O3;2.9;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;Al-Uraija;O3;1.0;ppb;Min / Hourly;Daily;
2019-10-19;Riyadh;Al-Muruj;O3;6.82;ppb;Avg / Hourly;Daily;
2019-10-19;Riyadh;Al-Khalidiya;PM10;63.0;µg/m3;Min / Hourly;Daily;
2019-10-19;Riyadh;Ar-Rawabi;PM10;159.0;µg/m3;Max / Hourly;Daily;
2019-10-19;Riyadh;Al-Muruj;PM10;166.0;µg/m3;Max / Hourly;Daily;
2019-10-19;Riyadh;Ar-Rawabi;PM10;65.04;µg/m3;Avg / Hourly;Daily;
2019-10-26;Riyadh;Al-Khaleej;CO;1.41;ppm;Max / Hourly;Daily;
2019-10-26;Riyadh;Al-Jazeera;CO;2.45;ppm;Max / Hourly;Daily;
2019-10-26;Riyadh;Al-Jazeera;CO;1.88;ppm;Avg / Hourly;Daily;
2019-10-26;Riyadh;Al-Uraija;SO2;0.9;ppb;Min / Hourly;Daily;
2019-10-26;Riyadh;At-Taawun;SO2;1.8;ppb;Min / Hourly;Daily;
2019-10-26;Riyadh;Al-Uraija;SO2;4.7;ppb;Max / Hourly;Daily;
2019-10-26;Riyadh;Al-Khaleej;SO2;3.44;ppb;Avg / Hourly;Daily;
2019-10-26;Riyadh;Al-Khaleej;NO2;1.8;ppb;Min / Hourly;Daily;
2019-10-26;Riyadh;Al-Jazeera;NO2;41.5;ppb;Max / Hourly;Daily;
2019-10-26;Riyadh;Ar-Rawabi;NO2;56.92;ppb;Avg / Hourly;Daily;
2019-10-26;Riyadh;Al-Muruj;O3;2.5;ppb;Min / Hourly;Daily;
2019-10-26;Riyadh;At-Taawun;O3;9.7;ppb;Max / Hourly;Daily;
2019-10-26;Riyadh;Al-Khalidiya;O3;8.11;ppb;Avg / Hourly;Daily;
2019-10-26;Riyadh;Ar-Rawabi;PM10;15.0;µg/m3;Min / Hourly;Daily;
2019-10-26;Riyadh;Al-Khaleej;PM10;117.5;µg/m3;Avg / Hourly;Daily;
2019-10-26;Riyadh;Al-Jazeera;PM10;106.0;µg/m3;Avg / Hourly;Daily;
2019-11-03;Riyadh;Al-Khaleej;CO;0.64;ppm;Min / Hourly;Daily;
2019-11-03;Riyadh;At-Taawun;CO;4.77;ppm;Max / Hourly;Daily;
2019-11-03;Riyadh;Al-Muruj;CO;1.46;ppm;Max / Hourly;Daily;
2019-11-03;Riyadh;Al-Khaleej;CO;0.98;ppm;Avg / Hourly;Daily;
2019-11-03;Riyadh;Ar-Rawabi;CO;1.88;ppm;Avg / Hourly;Daily;
2019-11-03;Riyadh;Al-Jazeera;CO;1.38;ppm;Avg / Hourly;Daily;
2019-11-03;Riyadh;Al-Jazeera;SO2;1.14;ppb;Avg / Hourly;Daily;
2019-11-03;Riyadh;At-Taawun;SO2;1.77;ppb;Avg / Hourly;Daily;
2019-11-03;Riyadh;At-Taawun;NO2;85.7;ppb;Max / Hourly;Daily;
2019-11-03;Riyadh;Al-Uraija;NO2;2.27;ppb;Avg / Hourly;Daily;
2019-11-03;Riyadh;At-Taawun;O3;0.1;ppb;Min / Hourly;Daily;
2019-11-03;Riyadh;Ar-Rawabi;O3;15.4;ppb;Max / Hourly;Daily;
2019-11-03;Riyadh;At-Taawun;O3;6.7;ppb;Max / Hourly;Daily;
2019-11-03;Riyadh;Al-Uraija;O3;3.79;ppb;Avg / Hourly;Daily;
2019-11-03;Riyadh;Ar-Rawabi;O3;4.4;ppb;Avg / Hourly;Daily;
2019-11-03;Riyadh;Al-Muruj;PM10;62.0;µg/m3;Min / Hourly;Daily;
2019-11-03;Riyadh;Ar-Rawabi;PM10;77.0;µg/m3;Max / Hourly;Daily;
2019-11-03;Riyadh;Al-Khalidiya;PM10;112.0;µg/m3;Max / Hourly;Daily;
2019-11-03;Riyadh;Al-Khalidiya;PM10;53.41;µg/m3;Avg / Hourly;Daily;
2019-11-10;Riyadh;Al-Khaleej;CO;1.34;ppm;Max / Hourly;Daily;
2019-11-10;Riyadh;Al-Muruj;CO;1.41;ppm;Max / Hourly;Daily;
2019-11-10;Riyadh;Al-Uraija;SO2;1.3;ppb;Min / Hourly;Daily;
2019-11-10;Riyadh;Al-Muruj;SO2;0.7;ppb;Min / Hourly;Daily;
2019-11-10;Riyadh;Al-Uraija;SO2;12.4;ppb;Max / Hourly;Daily;
2019-11-10;Riyadh;Al-Muruj;SO2;3.2;ppb;Max / Hourly;Daily;
2019-11-10;Riyadh;At-Taawun;SO2;2.09;ppb;Avg / Hourly;Daily;
2019-11-10;Riyadh;Al-Uraija;NO2;2.6;ppb;Min / Hourly;Daily;
2019-11-10;Riyadh;Ar-Rawabi;NO2;34.3;ppb;Min / Hourly;Daily;
2019-11-10;Riyadh;Al-Jazeera;NO2;17.5;ppb;Min / Hourly;Daily;
2019-11-10;Riyadh;Ar-Rawabi;NO2;47.27;ppb;Avg / Hourly;Daily;
2019-11-10;Riyadh;Al-Jazeera;NO2;28.43;ppb;Avg / Hourly;Daily;
2019-11-10;Riyadh;Al-Muruj;NO2;10.76;ppb;Avg / Hourly;Daily;
2019-11-10;Riyadh;Al-Muruj;O3;8.0;ppb;Min / Hourly;Daily;
2019-11-10;Riyadh;Al-Khaleej;O3;14.6;ppb;Max / Hourly;Daily;
2019-11-10;Riyadh;Al-Muruj;O3;52.0;ppb;Max / Hourly;Daily;
2019-11-10;Riyadh;Al-Khaleej;PM10;471.0;µg/m3;Max / Hourly;Daily;
2019-11-10;Riyadh;Al-Muruj;PM10;285.0;µg/m3;Max / Hourly;Daily;
2019-11-10;Riyadh;Al-Uraija;PM10;105.2;µg/m3;Avg / Hourly;Daily;
2019-11-17;Riyadh;At-Taawun;CO;0.15;ppm;Min / Hourly;Daily;
2019-11-17;Riyadh;Ar-Rawabi;CO;2.28;ppm;Max / Hourly;Daily;
2019-11-17;Riyadh;At-Taawun;CO;7.02;ppm;Max / Hourly;Daily;
2019-11-17;Riyadh;Ar-Rawabi;SO2;0.1;ppb;Min / Hourly;Daily;
2019-11-17;Riyadh;At-Taawun;SO2;1.7;ppb;Min / Hourly;Daily;
2019-11-17;Riyadh;Al-Muruj;SO2;1.0;ppb;Avg / Hourly;Daily;
2019-11-17;Riyadh;Al-Uraija;NO2;2.4;ppb;Min / Hourly;Daily;
2019-11-17;Riyadh;Al-Uraija;NO2;7.2;ppb;Max / Hourly;Daily;
2019-11-17;Riyadh;Ar-Rawabi;NO2;58.85;ppb;Avg / Hourly;Daily;
2019-11-17;Riyadh;Al-Jazeera;O3;23.0;ppb;Max / Hourly;Daily;
2019-11-17;Riyadh;At-Taawun;O3;3.7;ppb;Max / Hourly;Daily;
2019-11-17;Riyadh;Al-Uraija;O3;5.79;ppb;Avg / Hourly;Daily;
2019-11-17;Riyadh;At-Taawun;O3;1.56;ppb;Avg / Hourly;Daily;
2019-11-17;Riyadh;Al-Khalidiya;O3;5.76;ppb;Avg / Hourly;Daily;
2019-11-17;Riyadh;Al-Jazeera;PM10;1.0;µg/m3;Min / Hourly;Daily;
2019-11-17;Riyadh;Al-Khalidiya;PM10;191.0;µg/m3;Max / Hourly;Daily;
2019-11-17;Riyadh;Al-Uraija;PM10;84.2;µg/m3;Avg / Hourly;Daily;
2019-12-14;Riyadh;At-Taawun;PM10;212.0;µg/m3;Max / Hourly;Daily;
2019-12-21;Riyadh;Al-Uraija;CO;0.63;ppm;Max / Hourly;Daily;
2019-12-21;Riyadh;Al-Khaleej;CO;0.8;ppm;Avg / Hourly;Daily;
2019-12-21;Riyadh;Al-Uraija;CO;0.19;ppm;Avg / Hourly;Daily;
2019-12-21;Riyadh;Al-Jazeera;CO;0.9;ppm;Avg / Hourly;Daily;
2019-12-21;Riyadh;Al-Khalidiya;CO;1.64;ppm;Avg / Hourly;Daily;
2019-12-21;Riyadh;Ar-Rawabi;SO2;0.6;ppb;Min / Hourly;Daily;
2019-12-21;Riyadh;Al-Khalidiya;SO2;0.2;ppb;Min / Hourly;Daily;
2019-12-21;Riyadh;Al-Uraija;SO2;1.5;ppb;Max / Hourly;Daily;
2019-12-21;Riyadh;Al-Jazeera;SO2;2.3;ppb;Max / Hourly;Daily;
2019-12-21;Riyadh;Al-Khaleej;SO2;3.19;ppb;Avg / Hourly;Daily;
2019-12-21;Riyadh;Ar-Rawabi;SO2;0.95;ppb;Avg / Hourly;Daily;
2019-12-21;Riyadh;Al-Muruj;SO2;2.22;ppb;Avg / Hourly;Daily;
2019-12-21;Riyadh;Al-Jazeera;NO2;20.4;ppb;Min / Hourly;Daily;
2019-12-21;Riyadh;At-Taawun;NO2;0.2;ppb;Min / Hourly;Daily;
2019-12-21;Riyadh;At-Taawun;NO2;0.6;ppb;Max / Hourly;Daily;
2019-12-21;Riyadh;Al-Khalidiya;NO2;103.2;ppb;Max / Hourly;Daily;
2019-12-21;Riyadh;Al-Khalidiya;NO2;74.37;ppb;Avg / Hourly;Daily;
2019-12-21;Riyadh;Ar-Rawabi;O3;1.0;ppb;Min / Hourly;Daily;
2019-12-21;Riyadh;At-Taawun;O3;5.2;ppb;Max / Hourly;Daily;
2019-12-21;Riyadh;Ar-Rawabi;PM10;14.0;µg/m3;Min / Hourly;Daily;
2019-12-21;Riyadh;Al-Khaleej;PM10;271.0;µg/m3;Max / Hourly;Daily;
2019-12-21;Riyadh;Al-Uraija;PM10;66.7;µg/m3;Avg / Hourly;Daily;
2019-12-21;Riyadh;Ar-Rawabi;PM10;39.25;µg/m3;Avg / Hourly;Daily;
2019-12-21;Riyadh;At-Taawun;PM10;71.16;µg/m3;Avg / Hourly;Daily;
2019-12-21;Riyadh;Al-Khalidiya;PM10;49.04;µg/m3;Avg / Hourly;Daily;
2019-12-28;Riyadh;Al-Uraija;CO;0.01;ppm;Min / Hourly;Daily;
2019-12-28;Riyadh;Ar-Rawabi;CO;1.96;ppm;Max / Hourly;Daily;
2019-12-28;Riyadh;Al-Muruj;CO;1.25;ppm;Max / Hourly;Daily;
2019-12-28;Riyadh;Al-Khaleej;SO2;0.1;ppb;Min / Hourly;Daily;
2019-12-28;Riyadh;Al-Uraija;SO2;1.3;ppb;Max / Hourly;Daily;
2019-12-28;Riyadh;Al-Muruj;SO2;2.13;ppb;Avg / Hourly;Daily;
2019-12-28;Riyadh;Al-Uraija;NO2;3.6;ppb;Min / Hourly;Daily;
2019-12-28;Riyadh;Ar-Rawabi;NO2;79.4;ppb;Min / Hourly;Daily;
2019-12-28;Riyadh;Al-Khalidiya;NO2;97.6;ppb;Max / Hourly;Daily;
2019-12-28;Riyadh;Ar-Rawabi;NO2;107.14;ppb;Avg / Hourly;Daily;
2019-12-28;Riyadh;Ar-Rawabi;O3;6.3;ppb;Max / Hourly;Daily;
2019-12-28;Riyadh;Ar-Rawabi;O3;1.86;ppb;Avg / Hourly;Daily;
2019-12-28;Riyadh;Al-Muruj;PM10;46.0;µg/m3;Min / Hourly;Daily;
2019-12-28;Riyadh;Al-Khaleej;PM10;191.0;µg/m3;Max / Hourly;Daily;
2019-12-28;Riyadh;Al-Khaleej;PM10;141.04;µg/m3;Avg / Hourly;Daily;
2020-01-01;Riyadh;Al-Khaleej;CO;0.6;ppm;Avg / Hourly;Daily;
2020-01-01;Riyadh;Al-Khaleej;SO2;6.3;ppb;Max / Hourly;Daily;
2020-01-01;Riyadh;Al-Khaleej;NO2;1.9;ppb;Min / Hourly;Daily;
2020-01-01;Riyadh;Al-Uraija;NO2;5.3;ppb;Max / Hourly;Daily;
2020-01-01;Riyadh;Ar-Rawabi;NO2;83.6;ppb;Avg / Hourly;Daily;
2020-01-01;Riyadh;Al-Muruj;O3;3.1;ppb;Max / Hourly;Daily;
2020-01-01;Riyadh;Al-Khalidiya;PM10;73.0;µg/m3;Max / Hourly;Daily;
2020-01-04;Riyadh;Al-Uraija;CO;2.11;ppm;Min / Hourly;Daily;
2020-01-04;Riyadh;Al-Ghurabi;CO;4.31;ppm;Max / Hourly;Daily;
2020-01-04;Riyadh;Al-Khalidiya;CO;2.7;ppm;Max / Hourly;Daily;
2020-01-04;Riyadh;Al-Uraija;CO;2.58;ppm;Avg / Hourly;Daily;
2020-01-04;Riyadh;Al-Muruj;CO;1.31;ppm;Avg / Hourly;Daily;
2020-01-04;Riyadh;Al-Khalidiya;CO;2.36;ppm;Avg / Hourly;Daily;
2020-01-04;Riyadh;Al-Khaleej;SO2;0.1;ppb;Min / Hourly;Daily;
2020-01-04;Riyadh;Al-Uraija;SO2;0.9;ppb;Min / Hourly;Daily;
2020-01-04;Riyadh;Al-Khaleej;SO2;1.62;ppb;Avg / Hourly;Daily;
2020-01-04;Riyadh;Al-Muruj;NO2;23.9;ppb;Min / Hourly;Daily;
2020-01-04;Riyadh;Al-Khaleej;NO2;2.2;ppb;Max / Hourly;Daily;
2020-01-04;Riyadh;Al-Uraija;NO2;6.85;ppb;Avg / Hourly;Daily;
2020-01-04;Riyadh;Al-Khaleej;O3;1.2;ppb;Min / Hourly;Daily;
2020-01-04;Riyadh;Al-Muruj;O3;0.1;ppb;Min / Hourly;Daily;
2020-01-04;Riyadh;Al-Ghurabi;PM10;101.0;µg/m3;Min / Hourly;Daily;
2020-01-04;Riyadh;Al-Uraija;PM10;38.0;µg/m3;Min / Hourly;Daily;
2020-01-04;Riyadh;Al-Khalidiya;PM10;102.0;µg/m3;Max / Hourly;Daily;
2020-01-04;Riyadh;Al-Khaleej;PM10;126.83;µg/m3;Avg / Hourly;Daily;
2020-01-04;Riyadh;Al-Uraija;PM10;102.58;µg/m3;Avg / Hourly;Daily;
2020-01-13;Riyadh;Al-Uraija;CO;1.73;ppm;Min / Hourly;Daily;
2020-01-13;Riyadh;Al-Ghurabi;CO;3.94;ppm;Max / Hourly;Daily;
2020-01-13;Riyadh;Al-Khaleej;CO;2.24;ppm;Max / Hourly;Daily;
2020-01-13;Riyadh;Al-Khalidiya;CO;2.94;ppm;Avg / Hourly;Daily;
2020-01-13;Riyadh;Al-Jazeera;SO2;2.52;ppb;Avg / Hourly;Daily;
2020-01-13;Riyadh;Al-Jazeera;NO2;17.1;ppb;Min / Hourly;Daily;
2020-01-13;Riyadh;Al-Muruj;NO2;14.7;ppb;Min / Hourly;Daily;
2020-01-13;Riyadh;Al-Khalidiya;NO2;42.0;ppb;Min / Hourly;Daily;
2020-01-13;Riyadh;Al-Khaleej;NO2;2.3;ppb;Max / Hourly;Daily;
2020-01-13;Riyadh;Al-Uraija;O3;3.04;ppb;Avg / Hourly;Daily;
2020-01-13;Riyadh;Al-Jazeera;O3;7.93;ppb;Avg / Hourly;Daily;
2020-01-13;Riyadh;At-Taawun;O3;1.67;ppb;Avg / Hourly;Daily;
2020-01-13;Riyadh;Al-Khalidiya;O3;7.88;ppb;Avg / Hourly;Daily;
2020-01-13;Riyadh;Al-Ghurabi;PM10;46.0;µg/m3;Min / Hourly;Daily;
2020-01-13;Riyadh;Al-Uraija;PM10;15.0;µg/m3;Min / Hourly;Daily;
2020-01-13;Riyadh;At-Taawun;PM10;18.0;µg/m3;Min / Hourly;Daily;
2020-01-13;Riyadh;Al-Muruj;PM10;145.0;µg/m3;Max / Hourly;Daily;
2020-01-18;Riyadh;Ar-Rawabi;CO;1.71;ppm;Max / Hourly;Daily;
2020-01-18;Riyadh;Al-Uraija;CO;1.93;ppm;Avg / Hourly;Daily;
2020-01-18;Riyadh;Al-Khalidiya;SO2;0.3;ppb;Max / Hourly;Daily;
2020-01-18;Riyadh;Al-Jazeera;SO2;2.23;ppb;Avg / Hourly;Daily;
2020-01-18;Riyadh;Al-Khaleej;NO2;1.8;ppb;Min / Hourly;Daily;
2020-01-18;Riyadh;Al-Khalidiya;NO2;42.5;ppb;Min / Hourly;Daily;
2020-01-18;Riyadh;Al-Muruj;NO2;35.1;ppb;Max / Hourly;Daily;
2020-01-18;Riyadh;Al-Khalidiya;NO2;49.6;ppb;Max / Hourly;Daily;
2020-01-18;Riyadh;Al-Ghurabi;NO2;39.75;ppb;Avg / Hourly;Daily;
2020-01-18;Riyadh;Al-Khaleej;NO2;2.07;ppb;Avg / Hourly;Daily;
2020-01-18;Riyadh;Ar-Rawabi;NO2;31.46;ppb;Avg / Hourly;Daily;
2020-01-18;Riyadh;At-Taawun;NO2;2.77;ppb;Avg / Hourly;Daily;
2020-01-18;Riyadh;Al-Uraija;O3;2.0;ppb;Min / Hourly;Daily;
2020-01-18;Riyadh;Ar-Rawabi;O3;6.8;ppb;Min / Hourly;Daily;
2020-01-18;Riyadh;Al-Jazeera;O3;2.4;ppb;Min / Hourly;Daily;
2020-01-18;Riyadh;Al-Muruj;O3;8.0;ppb;Min / Hourly;Daily;
2020-01-18;Riyadh;Al-Uraija;O3;5.0;ppb;Max / Hourly;Daily;
2020-01-18;Riyadh;Ar-Rawabi;O3;28.4;ppb;Max / Hourly;Daily;
2020-01-18;Riyadh;Al-Jazeera;O3;4.5;ppb;Max / Hourly;Daily;
2020-01-18;Riyadh;Al-Ghurabi;O3;12.08;ppb;Avg / Hourly;Daily;
2020-01-18;Riyadh;At-Taawun;O3;1.45;ppb;Avg / Hourly;Daily;
2020-01-18;Riyadh;Al-Khalidiya;O3;2.0;ppb;Avg / Hourly;Daily;
2020-01-18;Riyadh;Al-Khaleej;PM10;252.0;µg/m3;Max / Hourly;Daily;
2020-01-18;Riyadh;Ar-Rawabi;PM10;107.0;µg/m3;Max / Hourly;Daily;
2020-01-18;Riyadh;Al-Muruj;PM10;148.0;µg/m3;Max / Hourly;Daily;
2020-01-18;Riyadh;Al-Ghurabi;PM10;128.7;µg/m3;Avg / Hourly;Daily;
2020-01-22;Riyadh;Al-Khaleej;CO;0.41;ppm;Min / Hourly;Daily;
2020-01-22;Riyadh;Ar-Rawabi;CO;1.2;ppm;Min / Hourly;Daily;
2020-01-22;Riyadh;Al-Jazeera;CO;1.32;ppm;Avg / Hourly;Daily;
2020-01-22;Riyadh;At-Taawun;CO;2.03;ppm;Avg / Hourly;Daily;
2020-01-22;Riyadh;Al-Khalidiya;CO;2.13;ppm;Avg / Hourly;Daily;
2020-01-22;Riyadh;Al-Uraija;SO2;0.7;ppb;Min / Hourly;Daily;
2020-01-22;Riyadh;Al-Jazeera;SO2;1.8;ppb;Min / Hourly;Daily;
2020-01-22;Riyadh;Al-Khalidiya;SO2;0.4;ppb;Min / Hourly;Daily;
2020-01-22;Riyadh;Al-Jazeera;NO2;7.9;ppb;Min / Hourly;Daily;
2020-01-22;Riyadh;Al-Khalidiya;NO2;22.8;ppb;Min / Hourly;Daily;
2020-01-22;Riyadh;Al-Ghurabi;NO2;16.3;ppb;Max / Hourly;Daily;
2020-01-22;Riyadh;Al-Uraija;NO2;11.2;ppb;Max / Hourly;Daily;
2020-01-22;Riyadh;Al-Jazeera;NO2;37.0;ppb;Max / Hourly;Daily;
2020-01-22;Riyadh;At-Taawun;NO2;3.0;ppb;Max / Hourly;Daily;
2020-01-22;Riyadh;At-Taawun;NO2;2.34;ppb;Avg / Hourly;Daily;
2020-01-22;Riyadh;Al-Muruj;NO2;21.18;ppb;Avg / Hourly;Daily;
2020-01-22;Riyadh;Al-Muruj;O3;12.3;ppb;Max / Hourly;Daily;
2020-01-22;Riyadh;Al-Khaleej;O3;4.77;ppb;Avg / Hourly;Daily;
2020-01-22;Riyadh;Al-Jazeera;O3;12.43;ppb;Avg / Hourly;Daily;
2020-01-22;Riyadh;Al-Muruj;O3;10.17;ppb;Avg / Hourly;Daily;
2020-01-22;Riyadh;Al-Khalidiya;O3;7.34;ppb;Avg / Hourly;Daily;
2020-01-22;Riyadh;Al-Khaleej;PM10;66.0;µg/m3;Min / Hourly;Daily;
2020-01-22;Riyadh;Al-Uraija;PM10;58.0;µg/m3;Min / Hourly;Daily;
2020-01-22;Riyadh;Al-Ghurabi;PM10;287.0;µg/m3;Max / Hourly;Daily;
2020-01-22;Riyadh;Al-Uraija;PM10;191.0;µg/m3;Max / Hourly;Daily;
2020-01-22;Riyadh;Al-Ghurabi;PM10;166.09;µg/m3;Avg / Hourly;Daily;
2020-01-22;Riyadh;Al-Uraija;PM10;110.79;µg/m3;Avg / Hourly;Daily;
2020-01-22;Riyadh;Al-Muruj;PM10;129.7;µg/m3;Avg / Hourly;Daily;
2020-01-31;Riyadh;Al-Muruj;CO;1.23;ppm;Min / Hourly;Daily;
2020-01-31;Riyadh;Al-Muruj;CO;1.56;ppm;Avg / Hourly;Daily;
2020-01-31;Riyadh;Ar-Rawabi;SO2;0.6;ppb;Min / Hourly;Daily;
2020-01-31;Riyadh;Ar-Rawabi;SO2;2.2;ppb;Max / Hourly;Daily;
2020-01-31;Riyadh;Al-Ghurabi;SO2;3.9;ppb;Avg / Hourly;Daily;
2020-01-31;Riyadh;Al-Khalidiya;SO2;3.59;ppb;Avg / Hourly;Daily;
2020-01-31;Riyadh;Al-Ghurabi;NO2;44.9;ppb;Max / Hourly;Daily;
2020-01-31;Riyadh;Al-Jazeera;NO2;42.9;ppb;Max / Hourly;Daily;
2020-01-31;Riyadh;Al-Khaleej;NO2;1.7;ppb;Avg / Hourly;Daily;
2020-01-31;Riyadh;Al-Ghurabi;O3;1.0;ppb;Min / Hourly;Daily;
2020-01-31;Riyadh;Al-Uraija;O3;1.0;ppb;Min / Hourly;Daily;
2020-01-31;Riyadh;Ar-Rawabi;O3;37.1;ppb;Max / Hourly;Daily;
2020-01-31;Riyadh;At-Taawun;O3;7.0;ppb;Max / Hourly;Daily;
2020-01-31;Riyadh;Al-Ghurabi;O3;8.33;ppb;Avg / Hourly;Daily;
2020-01-31;Riyadh;At-Taawun;O3;2.36;ppb;Avg / Hourly;Daily;
2020-01-31;Riyadh;Ar-Rawabi;PM10;23.0;µg/m3;Min / Hourly;Daily;
2020-01-31;Riyadh;Al-Uraija;PM10;87.83;µg/m3;Avg / Hourly;Daily;
2020-01-31;Riyadh;Al-Khalidiya;PM10;63.41;µg/m3;Avg / Hourly;Daily;
2020-02-01;Riyadh;Al-Ghurabi;CO;2.55;ppm;Min / Hourly;Daily;
2020-02-01;Riyadh;Al-Ghurabi;CO;4.29;ppm;Max / Hourly;Daily;
2020-02-01;Riyadh;Al-Ghurabi;SO2;2.4;ppb;Min / Hourly;Daily;
2020-02-01;Riyadh;Ar-Rawabi;SO2;0.6;ppb;Min / Hourly;Daily;
2020-02-01;Riyadh;Al-Ghurabi;SO2;3.8;ppb;Max / Hourly;Daily;
2020-02-01;Riyadh;Al-Muruj;SO2;2.5;ppb;Max / Hourly;Daily;
2020-02-01;Riyadh;Ar-Rawabi;SO2;1.02;ppb;Avg / Hourly;Daily;
2020-02-01;Riyadh;Al-Jazeera;SO2;1.18;ppb;Avg / Hourly;Daily;
2020-02-01;Riyadh;Al-Khaleej;NO2;1.4;ppb;Min / Hourly;Daily;
2020-02-01;Riyadh;Ar-Rawabi;NO2;30.2;ppb;Min / Hourly;Daily;
2020-02-01;Riyadh;Al-Jazeera;NO2;17.0;ppb;Min / Hourly;Daily;
2020-02-01;Riyadh;At-Taawun;NO2;2.5;ppb;Min / Hourly;Daily;
2020-02-01;Riyadh;Al-Ghurabi;NO2;38.5;ppb;Max / Hourly;Daily;
2020-02-01;Riyadh;Ar-Rawabi;NO2;46.67;ppb;Avg / Hourly;Daily;
2020-02-01;Riyadh;At-Taawun;NO2;2.72;ppb;Avg / Hourly;Daily;
2020-02-01;Riyadh;Al-Khaleej;O3;5.3;ppb;Max / Hourly;Daily;
2020-02-01;Riyadh;At-Taawun;O3;9.3;ppb;Max / Hourly;Daily;
2020-02-01;Riyadh;Al-Uraija;O3;5.2;ppb;Avg / Hourly;Daily;
2020-02-01;Riyadh;Al-Muruj;O3;10.72;ppb;Avg / Hourly;Daily;
2020-02-01;Riyadh;Al-Khaleej;PM10;111.0;µg/m3;Min / Hourly;Daily;
2020-02-01;Riyadh;Al-Uraija;PM10;78.0;µg/m3;Min / Hourly;Daily;
2020-02-01;Riyadh;Ar-Rawabi;PM10;35.0;µg/m3;Min / Hourly;Daily;
2020-02-01;Riyadh;Al-Jazeera;PM10;15.0;µg/m3;Min / Hourly;Daily;
2020-02-01;Riyadh;Al-Khaleej;PM10;336.0;µg/m3;Max / Hourly;Daily;
2020-02-01;Riyadh;At-Taawun;PM10;332.0;µg/m3;Max / Hourly;Daily;
2020-02-01;Riyadh;Al-Uraija;PM10;183.76;µg/m3;Avg / Hourly;Daily;
2020-02-01;Riyadh;Al-Khalidiya;PM10;138.9;µg/m3;Avg / Hourly;Daily;
2020-02-08;Riyadh;Ar-Rawabi;CO;0.3;ppm;Min / Hourly;Daily;
2020-02-08;Riyadh;Al-Jazeera;CO;1.41;ppm;Min / Hourly;Daily;
2020-02-08;Riyadh;Al-Muruj;CO;1.31;ppm;Min / Hourly;Daily;
2020-02-08;Riyadh;Al-Khaleej;CO;0.63;ppm;Max / Hourly;Daily;
2020-02-08;Riyadh;Ar-Rawabi;CO;1.51;ppm;Max / Hourly;Daily;
2020-02-08;Riyadh;Al-Muruj;CO;2.31;ppm;Max / Hourly;Daily;
2020-02-08;Riyadh;At-Taawun;CO;0.88;ppm;Avg / Hourly;Daily;
2020-02-08;Riyadh;Al-Khalidiya;CO;0.27;ppm;Avg / Hourly;Daily;
2020-02-08;Riyadh;Al-Khaleej;SO2;0.4;ppb;Min / Hourly;Daily;
2020-02-08;Riyadh;At-Taawun;SO2;2.3;ppb;Min / Hourly;Daily;
2020-02-08;Riyadh;Al-Uraija;SO2;15.4;ppb;Max / Hourly;Daily;
2020-02-08;Riyadh;Al-Uraija;SO2;1.32;ppb;Avg / Hourly;Daily;
2020-02-08;Riyadh;At-Taawun;SO2;3.09;ppb;Avg / Hourly;Daily;
2020-02-08;Riyadh;Al-Muruj;SO2;2.66;ppb;Avg / Hourly;Daily;
2020-02-08;Riyadh;Al-Ghurabi;NO2;6.4;ppb;Min / Hourly;Daily;
2020-02-08;Riyadh;Al-Khaleej;NO2;1.7;ppb;Min / Hourly;Daily;
2020-02-08;Riyadh;Al-Jazeera;NO2;13.5;ppb;Min / Hourly;Daily;
2020-02-08;Riyadh;At-Taawun;NO2;0.9;ppb;Min / Hourly;Daily;
2020-02-08;Riyadh;Al-Muruj;NO2;12.0;ppb;Min / Hourly;Daily;
2020-02-08;Riyadh;Al-Khaleej;NO2;2.6;ppb;Max / Hourly;Daily;
2020-02-08;Riyadh;Ar-Rawabi;NO2;44.5;ppb;Max / Hourly;Daily;
