latitude,longitude,name
24.9303666,46.5843268,
24.5844794,46.8105466,مستشفى النقاهة
24.6927272,46.5847354,مستشفى عرقة
24.679214,46.7247709,مستشفى قوى الامن
24.5608435,46.6763687,مستشفى دله - نمار
24.6520282,46.7608027,
24.7396328,46.7979542,
24.7377198,46.7483232,
24.6640253,46.7167212,
24.6021591,46.6280771,مركز الرعاية الصحية الأولية حي العريجاء الأوسط
24.486058,46.6009889,مستوصف حي قرطبة
24.5785667,46.6048707,مستشفى الجافل
24.7211226,46.7749575,مستشفى الدكتور سليمان الحبيب
24.7191132,46.6568967,مستشفى الدكتور سليمان الحبيب
24.5673318,46.6408678,مستشفى الدكتور سليمان الحبيب
24.7044673,46.6767981,مستشفى الدكتور سليمان الحبيب
24.7046605,46.6774501,مجمع الحبيب - الجلدية والعيون
24.7039899,46.6777708,مجمع الحبيب - النساء والولادة
24.7034848,46.6780781,مجمع الحبيب - العظام والعامود الفقري
24.6004075,46.7375895,مستشفى الإيمان العام
24.6706366,46.6811395,مستشفى الملك فيصل التخصصي الجناح الشرقي
24.7478518,46.5691834,
24.5280614,46.6529713,
24.7789466,46.7396935,
24.7705018,46.7441942,
24.7519734,46.880909,PMO Hospital
24.8365259,46.7220996,مستشفى الملك عبدالله الجامعي
24.6922035,46.7142624,مدينة الأمير سلطان الطبية العسكرية
24.7273856,46.6465948,Almuhammadiyah Clinic
24.7201378,46.6568267,مستشفى الدكتور سليمان الحبيب
24.6728825,46.7442443,مجمع عيادات الممتاز الطبي
24.6575115,46.7318298,
24.657557,46.7305841,
24.7033986,46.6583696,
24.7530404,46.7197319,عيادات روضة الأقصى الطبي ٢
24.7489837,46.6672943,مجمع عيادات دنت الطبي للاسنان والجلدية
24.6609349,46.719072,مستشفى الملك عبدالعزيز الجامعي
24.657081,46.7314864,
24.6571719,46.7318181,
24.7601318,46.6720066,مجموعة هاو الطبية
24.8597444,46.6424914,مستشفى دلة العارض
24.7289968,46.8813482,
24.7148124,46.6226138,D.U.H
24.8563115,46.6390141,مستشفى آمــاد
