السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,الرياض,الرياض,المحمدية,شقة,41,54897180,5450.91,10163.70401,11195.58,8848.14
2024,3,الربع الثالث,20243,الرياض,الرياض,المرسلات,شقة,49,48484130,6087.36,7772.798108,8342.42,7327.88
2024,3,الربع الثالث,20243,الرياض,الرياض,العريجاء الأوسط,شقة,1,750000,128.92,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,السلام,شقة,9,7215000,1313.42,5141.833728,5511.16,4908.89
2024,3,الربع الثالث,20243,الرياض,الرياض,الملك فهد,شقة,8,14303147,1635.52,9053.861046,12396.14,8136
2024,3,الربع الثالث,20243,الرياض,الرياض,المروج,شقة,13,13907815.42,1666.68,8200.733006,9596.45,7480.75
2024,3,الربع الثالث,20243,الرياض,الرياض,المعيزيلة,شقة,23,14378700,3135.04,4785.610024,5935.42,3401.64
2024,3,الربع الثالث,20243,الرياض,الرياض,المنصورة (خنشليلة),شقة,1,310000,70.99,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,المهدية,شقة,66,51939716,9578.54,5283.096297,5780.85,4934.58
2024,3,الربع الثالث,20243,الرياض,الرياض,الملك فيصل,شقة,40,32658945.42,5901.95,5708.286812,6085.31,5205.19
2024,3,الربع الثالث,20243,الرياض,الرياض,القيروان,شقة,27,27476504.03,3490.32,7940.576254,9169.74,6197.27
2024,3,الربع الثالث,20243,الرياض,الرياض,السويدي الغربي,شقة,7,4734278,923.21,5343.929499,7731.59,4794.95
2024,3,الربع الثالث,20243,الرياض,الرياض,الشميسي,شقة,1,300000,147.84,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,القادسية,شقة,67,53335180.53,10299.28,5169.656707,5977.73,4422.04
2024,3,الربع الثالث,20243,الرياض,الرياض,المعذر,شقة,8,9170137.5,922.79,10096.8848,12351.12,9003.42
2024,3,الربع الثالث,20243,الرياض,الرياض,الوادي,شقة,14,12945972.88,1665.36,7205.786213,7875.59,6858.08
2024,3,الربع الثالث,20243,الرياض,الرياض,الورود,شقة,2,2520000,169.99,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الياسمين,شقة,127,133493216,17655.98,8287.546925,10046.27,6782.74
2024,3,الربع الثالث,20243,الرياض,الرياض,بدر,شقة,158,83569010.1,26795.915,3194.574032,3901.76,2675.12
2024,3,الربع الثالث,20243,الرياض,الرياض,العليا,شقة,52,109325325,6456.9,17778.81341,20000,11798.48
2024,3,الربع الثالث,20243,الرياض,الرياض,الفلاح,شقة,1,1448500,135.2,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,الندى,شقة,62,63371327.97,6909.11,8760.726402,10352.66,7827.14
2024,3,الربع الثالث,20243,الرياض,الرياض,النسيم الغربي,شقة,6,3823553,708.2,5892.845767,6663.29,5425.33
2024,3,الربع الثالث,20243,الرياض,الرياض,النزهة,شقة,38,50848726,5681.23,8979.11309,9701.92,8108.98
2024,3,الربع الثالث,20243,الرياض,الرياض,النظيم,شقة,19,8158459,3148.95,3159.357327,4962.6,804.35
2024,3,الربع الثالث,20243,الرياض,الرياض,الملز,شقة,8,6330000,995.5,5925.925926,5931.37,5924.52
2024,3,الربع الثالث,20243,الرياض,الرياض,الملقا,شقة,220,255624421.1,26870.42,9828.454408,11184.88,8662.95
2024,3,الربع الثالث,20243,الرياض,الرياض,المروة,شقة,7,2927825,1074.2206,2524.289484,3000,2204.53
2024,3,الربع الثالث,20243,الرياض,الرياض,المصيف,شقة,43,52011526.7,5767.07,8326.752079,10965.61,7630.5
2024,3,الربع الثالث,20243,الرياض,الرياض,النفل,شقة,2,1554810,234.52,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,جرير,شقة,4,2836106.17,515.38,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,عرقة,شقة,23,32072356,3537.3,8280.992463,9431.22,7758.53
2024,3,الربع الثالث,20243,الرياض,الرياض,لبن,شقة,48,27353259,7095.399,3794.284996,4981.6,2264.75
2024,3,الربع الثالث,20243,الرياض,الرياض,شبرا,شقة,3,1908000,463.18,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,ضاحية نمار,شقة,37,20826487,5609.941,3836.049854,4631.8,2850.57
2024,3,الربع الثالث,20243,الرياض,الرياض,قرطبة,شقة,219,230735622.4,30924.418,7559.755791,8665.34,6680.09
2024,3,الربع الثالث,20243,الرياض,الرياض,المنار,شقة,24,21971459.09,3445.1,6118.083658,6570.8,6039.96
2024,3,الربع الثالث,20243,الرياض,الرياض,النخيل,شقة,85,98026281.73,11265.185,8464.284281,11506.65,7361.66
2024,3,الربع الثالث,20243,الرياض,الرياض,النرجس,شقة,676,683917629.5,88291.43,7461.285591,8816.22,6540.8
2024,3,الربع الثالث,20243,الرياض,الرياض,النسيم الشرقي,شقة,2,819809.18,250,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,طيبة,شقة,2,967754.32,270.99,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,المونسية,شقة,135,132370429.2,22129.81,5691.732512,6696.13,5163.2
2024,3,الربع الثالث,20243,الرياض,الرياض,الندوة,شقة,3,1359301,369.73,NULL,NULL,NULL
2024,3,الربع الثالث,20243,الرياض,الرياض,اليرموك,شقة,82,70344399.55,12632.169,5830.066642,6589.789974,4880.09
2024,3,الربع الثالث,20243,الرياض,الرياض,ظهرة البديعة,شقة,14,8845150,2055.92,4650.01282,4838.3,4518.87294
2024,3,الربع الثالث,20243,الرياض,الرياض,حطين,شقة,134,181146150.6,20428.19,8824.671802,9873.23,7735.26
2024,3,الربع الثالث,20243,الرياض,الرياض,ديراب,شقة,31,16551844,4906.62,3562.429104,4013.33,2985.16
2024,3,الربع الثالث,20243,الرياض,الرياض,طويق,شقة,449,285745306.9,77118.99,3704.179637,4286.96,3185.21
