stop_id,stop_name,stop_desc,latitude,longitude,zone_id,stop_url,location_type,parent_station,feed
305065,ROCKAWAY AV/PITKIN AV,,40.669115,-73.910666,,,0,,brooklyn
305066,ROCKAWAY AV/SUTTER AV,,40.666862,-73.910071,,,0,,brooklyn
305067,ROCKAWAY AV/BLAKE AV,,40.665335,-73.909681,,,0,,brooklyn
305068,ROCKAWAY AV/DUMONT AV,,40.6638,-73.909301,,,0,,brooklyn
305069,ROCKAWAY AV/LIVONIA AV,,40.662221,-73.908895,,,0,,brooklyn
305070,ROCKAWAY AV/RIVERDALE AV,,40.660683,-73.908491,,,0,,brooklyn
305071,ROCKAWAY AV/NEWPORT ST,,40.659091,-73.908093,,,0,,brooklyn
305072,ROCKAWAY AV/LOTT AV,,40.657836,-73.907782,,,0,,brooklyn
305075,ROCKAWAY AV/DITMAS AV,,40.65311,-73.906587,,,0,,brooklyn
305076,ROCKAWAY AV/AVENUE D,,40.651111,-73.906074,,,0,,brooklyn
305077,ROCKAWAY AV/FOSTER AV,,40.648665,-73.90545,,,0,,brooklyn
305078,ROCKAWAY PKWY/FARRAGUT RD,,40.646699,-73.904178,,,0,,brooklyn
305087,E 108 ST/GLENWOOD RD,,40.65067,-73.894445,,,0,,brooklyn
305088,E 108 ST/FARRAGUT RD,,40.652142,-73.896077,,,0,,brooklyn
305089,E 108 ST/STANLEY AV,,40.653321,-73.897401,,,0,,brooklyn
305090,STANLEY AV/WILLIAMS AV,,40.654349,-73.895429,,,0,,brooklyn
305092,WILLIAMS AV/GLENWOOD RD,,40.65108,-73.892489,,,0,,brooklyn
305095,VAN DYKE ST/VAN BRUNT ST,,40.675698,-74.014662,,,0,,brooklyn
305096,VAN BRUNT ST/DIKEMAN ST,,40.676988,-74.013231,,,0,,brooklyn
305097,VAN BRUNT ST/SULLIVAN ST,,40.677757,-74.012326,,,0,,brooklyn
305098,VAN BRUNT ST/PIONEER ST,,40.679115,-74.010729,,,0,,brooklyn
305099,VAN BRUNT ST/VERONA ST,,40.680191,-74.009468,,,0,,brooklyn
305100,VAN BRUNT ST/SEABRING ST,,40.68149,-74.007946,,,0,,brooklyn
305103,COLUMBIA ST/UNION ST,,40.684644,-74.002812,,,0,,brooklyn
305108,COLUMBIA ST/ATLANTIC AV,,40.691443,-73.999437,,,0,,brooklyn
305110,ATLANTIC AV/HENRY ST,,40.690701,-73.996401,,,0,,brooklyn
305111,ATLANTIC AV/CLINTON ST,,40.690095,-73.994155,,,0,,brooklyn
305112,ATLANTIC AV/COURT ST,,40.689565,-73.992204,,,0,,brooklyn
305125,VANDERBILT AV/MYRTLE AV,,40.693453,-73.969817,,,0,,brooklyn
305126,VANDERBILT AV/PARK AV,,40.695753,-73.970308,,,0,,brooklyn
305139,WYTHE AV/ROSS ST,,40.703388,-73.964695,,,0,,brooklyn
305140,WYTHE AV/CLYMER ST,,40.705168,-73.966508,,,0,,brooklyn
305141,DIVISION AV/BERRY ST,,40.70716,-73.96598,,,0,,brooklyn
305155,MANHATTAN AV/NORMAN AV,,40.725769,-73.951846,,,0,,brooklyn
305156,MANHATTAN AV/MESEROLE AV,,40.727417,-73.95279,,,0,,brooklyn
305157,MANHATTAN AV/CALYER ST,,40.728435,-73.95337,,,0,,brooklyn
305159,MANHATTAN AV/GREENPOINT AV,,40.730535,-73.95422,,,0,,brooklyn
305162,McGUINNESS BLVD/FREEMAN ST,,40.734565,-73.952273,,,0,,brooklyn
305167,MANHATTAN AV/FREEMAN ST,,40.734065,-73.954997,,,0,,brooklyn
305170,MANHATTAN AV/GREENPOINT AV,,40.729832,-73.954159,,,0,,brooklyn
305171,MANHATTAN AV/CALYER ST,,40.727818,-73.953172,,,0,,brooklyn
305172,MANHATTAN AV/MESEROLE AV,,40.726763,-73.952574,,,0,,brooklyn
305173,MANHATTAN AV/NORMAN AV,,40.725111,-73.95163,,,0,,brooklyn
305174,MANHATTAN AV/NASSAU AV,,40.723452,-73.950693,,,0,,brooklyn
305175,MANHATTAN AV/DRIGGS AV,,40.722292,-73.950016,,,0,,brooklyn
305177,DRIGGS AV/UNION AV,,40.720497,-73.95261,,,0,,brooklyn
305179,DRIGGS AV/N 11 ST,,40.719035,-73.954376,,,0,,brooklyn
305181,DRIGGS AV/N 7 ST,,40.716878,-73.956671,,,0,,brooklyn
305182,DRIGGS AV/N 4 ST,,40.715175,-73.958516,,,0,,brooklyn
305183,DRIGGS AV/GRAND ST,,40.71363,-73.96005,,,0,,brooklyn
305185,DRIGGS AV/S 4 ST,,40.7111,-73.961653,,,0,,brooklyn
305186,DRIGGS AV/BROADWAY,,40.710029,-73.962321,,,0,,brooklyn
305191,WYTHE AV/CLYMER ST,,40.704836,-73.966339,,,0,,brooklyn
