السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,1,الربع الأول,20241,الرياض,الرياض,إشبيلية,شقة,147,113029331.4,22201.541,5047.001755,6070.52,4673.56
2024,1,الربع الأول,20241,الرياض,الرياض,البيان,شقة,19,11233210,2258.21,5020.071479,6593.41,3381.32
2024,1,الربع الأول,20241,الرياض,الرياض,التعاون,شقة,16,15204951.91,2319.21,7634.622509,9046.05,6038.18
2024,1,الربع الأول,20241,الرياض,الرياض,الخليج,شقة,29,19939149,4237.06,5033.098316,5222.65,4684.66
2024,1,الربع الأول,20241,الرياض,الرياض,أحد,شقة,2,1030000,405.81,NULL,NULL,NULL
2024,1,الربع الأول,20241,الرياض,الرياض,الخزامى,شقة,25,37387070.19,3744.55,9977.9378,10608.93,9472.76
2024,1,الربع الأول,20241,الرياض,الرياض,الديرة,شقة,1,140000,111.79,NULL,NULL,NULL
2024,1,الربع الأول,20241,الرياض,الرياض,الربيع,شقة,7,6837660,949.23,6436.307816,6908.8,5903.19
2024,1,الربع الأول,20241,الرياض,الرياض,الرفيعة,شقة,7,5420000,584.61,9271.138024,10441.32,8504.37
2024,1,الربع الأول,20241,الرياض,الرياض,الأندلس,شقة,17,10116200,2159.26,5017.755134,5395.91,4615.71
2024,1,الربع الأول,20241,الرياض,الرياض,السليمانية,شقة,2,1580000,173.26,NULL,NULL,NULL
2024,1,الربع الأول,20241,الرياض,الرياض,الحزم,شقة,57,29865406.54,8682.67,3528.429302,4203.81,2705.04
2024,1,الربع الأول,20241,الرياض,الرياض,الروابي,شقة,16,15954525,2474.616,6466.840789,7216.63,5312.5
2024,1,الربع الأول,20241,الرياض,الرياض,الروضة,شقة,40,31542250,5042.84,5581.680366,6982.62,5242.64
2024,1,الربع الأول,20241,الرياض,الرياض,الرمال,شقة,337,248571734,47053.91,5276.021027,6009.6,4650.21
2024,1,الربع الأول,20241,الرياض,الرياض,الجزيرة,شقة,14,12606844,1863.4,6651.849132,7588.57,6152.23
2024,1,الربع الأول,20241,الرياض,الرياض,الصحافة,شقة,23,31139834.52,3491.73,10344.22347,13044,7258.06
2024,1,الربع الأول,20241,الرياض,الرياض,العارض,شقة,400,378451190.8,54466.57,6727.216352,7792.52,6049.8
2024,1,الربع الأول,20241,الرياض,الرياض,الإزدهار,شقة,31,33010880,3888.41,8288.446528,9071.62,7452.49
2024,1,الربع الأول,20241,الرياض,الرياض,الجنادرية,شقة,8,4441150,1087.41,4799.04884,5316.47,4523.28
2024,1,الربع الأول,20241,الرياض,الرياض,السلي,شقة,9,4743616,1121.48,4494.258615,5391.53,3330.52
2024,1,الربع الأول,20241,الرياض,الرياض,الدريهمية,شقة,16,9254219.01,2507.355,3497.546628,3744.02,3230.97
2024,1,الربع الأول,20241,الرياض,الرياض,السعادة,شقة,85,59814309,13665.64,4366.95082,4745.81,3991.61
2024,1,الربع الأول,20241,الرياض,الرياض,الشهداء,شقة,16,16143069.38,1916.76,8645.617017,9527.44,8000.52
2024,1,الربع الأول,20241,الرياض,الرياض,العزيزية,شقة,41,16131462.84,5734.3792,2708.263444,4010.04,1854.03
2024,1,الربع الأول,20241,الرياض,الرياض,الغدير,شقة,8,9802400,952.35,10464.28833,18090.79531,7966.91
2024,1,الربع الأول,20241,الرياض,الرياض,الشفا,شقة,20,10596667.9,3347.2,3270.056823,4005.39,2301.66
2024,1,الربع الأول,20241,الرياض,الرياض,الشميسي,شقة,1,160000,147.84,NULL,NULL,NULL
2024,1,الربع الأول,20241,الرياض,الرياض,العقيق,شقة,56,57021740.06,7154.16,7724.651769,9356.62,6258.14
2024,1,الربع الأول,20241,الرياض,الرياض,الرائد,شقة,16,20882800,2193.29,9641.180701,11945.85,8522.88
2024,1,الربع الأول,20241,الرياض,الرياض,الزهرة,شقة,9,5510000,1417.86,4020.939231,4348.1,3218.82
2024,1,الربع الأول,20241,الرياض,الرياض,الحمراء,شقة,52,44048370.04,7986.005,5685.333352,7282.35,3875.97
2024,1,الربع الأول,20241,الرياض,الرياض,الدار البيضاء,شقة,138,59359904.19,20720.99,2867.390399,3567.79,2265.39
2024,1,الربع الأول,20241,الرياض,الرياض,الفلاح,شقة,1,1000000,204.74,NULL,NULL,NULL
2024,1,الربع الأول,20241,الرياض,الرياض,المرسلات,شقة,4,6410000,767.15,NULL,NULL,NULL
2024,1,الربع الأول,20241,الرياض,الرياض,السلام,شقة,25,19284000,3351.25,5699.986217,6476.68,5260.9
2024,1,الربع الأول,20241,الرياض,الرياض,السويدي,شقة,25,15659373,4019.91,4007.165653,4565.85,3320.62
2024,1,الربع الأول,20241,الرياض,الرياض,السويدي الغربي,شقة,8,3884257,1242.12,3422.979402,3435.7,3418.61
2024,1,الربع الأول,20241,الرياض,الرياض,الفيحاء,شقة,20,14770164,3227.07,4682.752238,5391.16,3893.25
2024,1,الربع الأول,20241,الرياض,الرياض,المربع,شقة,1,550000,151.94,NULL,NULL,NULL
2024,1,الربع الأول,20241,الرياض,الرياض,العريجاء الغربي,شقة,15,9428000,2531.71,3613.331115,4164.93,3304.19
2024,1,الربع الأول,20241,الرياض,الرياض,الربوة,شقة,8,6785250,920.13,7192.077147,8101.24,5921.05
2024,1,الربع الأول,20241,الرياض,الرياض,الرحمانية,شقة,2,2300000,194.09,NULL,NULL,NULL
2024,1,الربع الأول,20241,الرياض,الرياض,الريان,شقة,44,42324075.62,6036.18,6702.409424,7105.95,6412.73
2024,1,الربع الأول,20241,الرياض,الرياض,الملك فيصل,شقة,57,44306311,8256.74,5338.763069,5850.96,5073.69
