Periodicity;Year;Quarter;Measure;Sector;value
Quarterly;2021;Q3;Index;Residential: Total;86.25
Quarterly;2021;Q3;Index;Commercial: Total;85.97
Quarterly;2021;Q3;Index;Commercial: Building;82.6
Quarterly;2021;Q3;Index;Commercial: Gallery/ Shop;94.76
Quarterly;2021;Q3;Index;Agricultural: Agricultural Land;87.46
Quarterly;2022;Q1;Index;Residential: Villa;85.62
Quarterly;2022;Q1;Index;Commercial: Gallery/ Shop;97.79
Quarterly;2022;Q2;Index;Agricultural: Total;92.48
Quarterly;2022;Q3;Index;Residential: Villa;92.63
Quarterly;2022;Q3;Index;Commercial: Total;94.38
Quarterly;2022;Q3;Index;Commercial: Building;94.44
Quarterly;2023;Q1;Index;Residential: Total;100.24
Quarterly;2023;Q2;Index;Residential: Villa;101.79
Quarterly;2023;Q2;Index;Commercial: Building;101.56
Quarterly;2023;Q3;Index;Commercial: Commercial Plot;100.31
Quarterly;2023;Q3;Index;Commercial: Building;99.21
Quarterly;2023;Q4;Index;Index number;100.59
Quarterly;2023;Q4;Index;Residential: Villa;98.31
Quarterly;2023;Q4;Index;Residential: Apartment;98.57
Quarterly;2023;Q4;Index;Residential: Floor;99.39
Quarterly;2024;Q1;Index;Commercial: Total;104.6
Quarterly;2024;Q1;Index;Commercial: Building;103.76
Quarterly;2024;Q1;Index;Agricultural: Total;102.02
Quarterly;2024;Q2;Index;Residential: Total;101.13
Quarterly;2024;Q2;Index;Commercial: Building;107.32
Quarterly;2024;Q3;Index;Index number;102.56
Quarterly;2024;Q3;Index;Residential: Floor;98.41
Quarterly;2024;Q3;Index;Commercial: Gallery/ Shop;99.77
Quarterly;2024;Q4;Index;Residential: Villa;104.66
Quarterly;2024;Q4;Index;Commercial: Commercial Plot;110.17
Quarterly;2024;Q4;Index;Commercial: Building;105.28
Quarterly;2025;Q1;Index;Residential: Apartment;101.58
Quarterly;2025;Q1;Index;Residential: Floor;98.94
Quarterly;2025;Q2;Index;Residential: Residential Plot;101.3
Quarterly;2025;Q3;Index;Residential: Total;100.44
Quarterly;2025;Q3;Index;Residential: Floor;98.68
Quarterly;2025;Q3;Index;Commercial: Commercial Plot;114.45
Quarterly;2021;Q2;QoQ;Commercial: Total;-2.4
Quarterly;2021;Q2;QoQ;Commercial: Commercial Plot;-2.6
Quarterly;2021;Q2;QoQ;Commercial: Building;-0.8
Quarterly;2021;Q2;QoQ;Commercial: Gallery/ Shop;0.2
Quarterly;2021;Q2;QoQ;Agricultural: Total;3.3
Quarterly;2021;Q3;QoQ;Index number;5
Quarterly;2021;Q4;QoQ;Residential: Villa;3.7
Quarterly;2022;Q1;QoQ;Residential: Villa;1.8
Quarterly;2022;Q1;QoQ;Residential: Apartment;3.2
Quarterly;2022;Q1;QoQ;Commercial: Commercial Plot;3.8
Quarterly;2022;Q1;QoQ;Commercial: Building;3.2
Quarterly;2022;Q2;QoQ;Residential: Total;4.7
Quarterly;2022;Q2;QoQ;Residential: Residential Plot;4.1
Quarterly;2022;Q2;QoQ;Commercial: Building;4.8
Quarterly;2022;Q3;QoQ;Residential: Villa;0.6
Quarterly;2022;Q3;QoQ;Commercial: Building;4.6
Quarterly;2022;Q4;QoQ;Index number;-0.3
Quarterly;2022;Q4;QoQ;Residential: Villa;1.7
Quarterly;2023;Q1;QoQ;Index number;2.1
Quarterly;2023;Q1;QoQ;Residential: Residential Plot;1.6
Quarterly;2023;Q1;QoQ;Residential: Apartment;1.5
Quarterly;2023;Q1;QoQ;Commercial: Total;1.9
Quarterly;2023;Q1;QoQ;Commercial: Building;5.9
Quarterly;2023;Q2;QoQ;Residential: Residential Plot;0.1
Quarterly;2023;Q2;QoQ;Residential: Floor;0.2
Quarterly;2023;Q2;QoQ;Commercial: Total;2.7
Quarterly;2023;Q2;QoQ;Commercial: Commercial Plot;2.7
Quarterly;2023;Q3;QoQ;Index number;-0.2
Quarterly;2023;Q3;QoQ;Residential: Total;-0.9
Quarterly;2023;Q3;QoQ;Residential: Apartment;-2.2
Quarterly;2023;Q3;QoQ;Commercial: Gallery/ Shop;0.2
Quarterly;2023;Q3;QoQ;Agricultural: Agricultural Land;8.5
Quarterly;2023;Q4;QoQ;Index number;0.6
Quarterly;2023;Q4;QoQ;Commercial: Building;0.9
Quarterly;2023;Q4;QoQ;Agricultural: Agricultural Land;-2.4
Quarterly;2024;Q1;QoQ;Residential: Total;-0.1
Quarterly;2024;Q1;QoQ;Residential: Residential Plot;0.5
Quarterly;2024;Q1;QoQ;Commercial: Commercial Plot;0.1
Quarterly;2024;Q2;QoQ;Residential: Apartment;0.7
Quarterly;2024;Q2;QoQ;Commercial: Commercial Plot;-1.4
Quarterly;2024;Q2;QoQ;Agricultural: Agricultural Land;1.5
Quarterly;2024;Q3;QoQ;Index number;0.8
Quarterly;2024;Q4;QoQ;Residential: Residential Plot;0.9
Quarterly;2024;Q4;QoQ;Commercial: Total;2.7
Quarterly;2025;Q1;QoQ;Residential: Total;1.9
Quarterly;2025;Q1;QoQ;Residential: Villa;-1.4
Quarterly;2025;Q1;QoQ;Commercial: Gallery/ Shop;1.8
Quarterly;2025;Q1;QoQ;Agricultural: Total;-3.8
Quarterly;2025;Q1;QoQ;Agricultural: Agricultural Land;-3.8
Quarterly;2025;Q2;QoQ;Agricultural: Total;1.7
Quarterly;2025;Q3;QoQ;Residential: Residential Plot;-0.8
Quarterly;2022;Q1;YoY;Residential: Apartment;10.5
Quarterly;2022;Q1;YoY;Commercial: Building;7.6
Quarterly;2022;Q2;YoY;Residential: Residential Plot;15.3
Quarterly;2022;Q3;YoY;Residential: Apartment;16.5
Quarterly;2022;Q3;YoY;Residential: Floor;12.2
Quarterly;2022;Q4;YoY;Commercial: Total;7.8
Quarterly;2023;Q1;YoY;Residential: Floor;6.4
Quarterly;2023;Q1;YoY;Commercial: Gallery/ Shop;-0.8
Quarterly;2023;Q2;YoY;Commercial: Building;12.5
Quarterly;2023;Q3;YoY;Commercial: Commercial Plot;6.4
Quarterly;2023;Q3;YoY;Commercial: Building;5.1
Quarterly;2023;Q4;YoY;Residential: Total;1.1
Quarterly;2023;Q4;YoY;Residential: Apartment;-1
Quarterly;2023;Q4;YoY;Agricultural: Agricultural Land;7.4
Quarterly;2024;Q1;YoY;Residential: Total;-1.1
Quarterly;2024;Q1;YoY;Residential: Villa;-5.7
Quarterly;2024;Q1;YoY;Commercial: Commercial Plot;8.9
Quarterly;2024;Q2;YoY;Index number;1.6
Quarterly;2024;Q2;YoY;Residential: Total;0.4
Quarterly;2024;Q2;YoY;Commercial: Building;5.7
Quarterly;2024;Q3;YoY;Index number;2.6
Quarterly;2024;Q3;YoY;Residential: Residential Plot;1.6
Quarterly;2024;Q3;YoY;Residential: Apartment;1.9
Quarterly;2024;Q3;YoY;Commercial: Gallery/ Shop;-1.1
Quarterly;2025;Q1;YoY;Residential: Total;5.1
Quarterly;2025;Q1;YoY;Commercial: Total;2.5
Quarterly;2025;Q1;YoY;Commercial: Building;3.1
Quarterly;2025;Q1;YoY;Agricultural: Total;-1.1
Quarterly;2025;Q2;YoY;Commercial: Total;11.7
Quarterly;2025;Q2;YoY;Agricultural: Total;-0.9
Quarterly;2025;Q2;YoY;Agricultural: Agricultural Land;-0.9
Quarterly;2025;Q3;YoY;Index number;1.3
Quarterly;2025;Q3;YoY;Residential: Residential Plot;-0.9
Quarterly;2025;Q3;YoY;Residential: Villa;0.2
Quarterly;2025;Q3;YoY;Commercial: Commercial Plot;7.2
Annually;2021;Annual average;Index;Residential: Villa;79.42
Annually;2021;Annual average;Index;Residential: Floor;91.36
Annually;2021;Annual average;Index;Agricultural: Total;87.79
Annually;2021;Annual average;Index;Agricultural: Agricultural Land;87.79
Annually;2022;Annual average;Index;Residential: Villa;91.07
Annually;2022;Annual average;Index;Commercial: Total;93.93
Annually;2023;Annual average;Index;Residential: Villa;100
Annually;2024;Annual average;Index;Agricultural: Agricultural Land;101.43
Annually;2022;Annual average;YoY;Residential: Villa;14.7
Annually;2023;Annual average;YoY;Index number;4.9
Annually;2023;Annual average;YoY;Residential: Residential Plot;3.3
Annually;2024;Annual average;YoY;Residential: Total;1
Annually;2024;Annual average;YoY;Residential: Residential Plot;1.2
Annually;2024;Annual average;YoY;Commercial: Building;6
Annually;2024;Annual average;YoY;Commercial: Gallery/ Shop;-1.6
Annually;2024;Annual average;YoY;Agricultural: Total;1.4
