السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,3,الربع الثالث,الرياض,البديع,أخرى,أرض,زراعي,1,70000,55200,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الفلاح,فيلا,سكني,2,6040000,1407.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الزلفي,مرخ,أرض,سكني,5,162976,1800,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الورود,دور,سكني,3,6350000,597.3,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الجرادية,فيلا,سكني,1,900000,330,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الزهرة,فيلا,سكني,3,6175000,1525,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الدفاع,أرض,سكني,1,15200000,9682.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المحمدية,فيلا,سكني,2,5800000,933,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,المزاحمية,أخرى,فيلا,سكني,2,1633050.1,1259.15,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,العمل,أرض,سكني,2,13520000,937.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الروابي,شقة,سكني,3,1600000,362.47,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,النفل,فيلا,سكني,3,5100000,1032,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الإزدهار,مبنى,تجاري,1,10510000,650,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,النموذجية,أرض,سكني,2,2000,899.36,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,مشرفة,أرض,زراعي,3,1625000,15000,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,النزهة,فيلا,سكني,1,1060000,270,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,المجمعة,أخرى,شقة,سكني,5,1635400,548.85,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,العوالي,دوبلكس,سكني,1,1200000,246.3,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,ثادق,أخرى,أرض,تجاري,1,1649834,2081.11,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,الديرة في الهياثم,أرض,تجاري,1,255000,527.51,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,العريجاء,أرض,سكني,1,877500,630,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,جرير,أرض,سكني,2,2194400,744,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,العريجاء الغربي,مبنى,تجاري,1,1550000,400,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الصالحية,فيلا,سكني,2,500000,93.52,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المنار,دوبلكس,سكني,1,2150000,335.32,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المصانع,أرض,سكني,2,2850000,1714.44,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,شقراء,أخرى,أرض,تجاري,2,460000,1632.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,مشرف,شقة,سكني,2,705711,501.72,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,المزاحمية,أخرى,أخرى,سكني,1,95000,5000,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,السليل,أخرى,أرض,زراعي,2,469303.5,312383,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,شبرا,أخرى,سكني,1,150000,400,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,السعادة,أرض,تجاري,3,9402692.48,3917.63,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الدوادمي,أخرى,أخرى,أخرى,3,306000,2573.17,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الياسمين,أرض,سكني,5,10318203.05,1958,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الديرة,أخرى,أخرى,2,1044000,21.97,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الربوة,أرض,تجاري,1,17998200,1666.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الملك فهد,دور,سكني,1,1695000,163.21,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الإزدهار,فيلا,سكني,1,1406000,275,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,النظيم,شقة,سكني,2,1478835.94,458.85,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,القيروان,دور,سكني,4,8300000,746.09,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الإزدهار,أرض,سكني,2,11219000,1206,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الخرج,الفيصلية,دور,سكني,1,502500,242.1,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,النزهة,أخرى,سكني,1,18703125,1600,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الفلاح,أرض,سكني,1,1000000,557.5,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,العزيزية,دوبلكس,سكني,3,2046250,708,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,حوطة بني تميم,أخرى,أرض,زراعي,1,100000,50000,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الضباط,دور,سكني,2,1767000,245.71,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,السعادة,مبنى,تجاري,1,2800000,625,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,معكال,أرض,سكني,1,200000,222.94,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الدوادمي,أخرى,أرض,تجاري,4,3918325.08,176039.28,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,المنار,مبنى,تجاري,1,4062500,625,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الياسمين,مبنى,تجاري,2,70000000,2043.26,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,طيبة,فيلا,سكني,2,1536900,544.64,NULL,NULL,NULL
2025,3,الربع الثالث,الرياض,الرياض,الزهراء,أرض,سكني,1,1600000,281.25,NULL,NULL,NULL
