Periodicity;Year;Quarter;Indicator;Value
Quarterly;2019;Q3;Agricultural: Land;97.672
Quarterly;2019;Q4;Residential: Plot;84.03457142857143
Quarterly;2020;Q1;Residential: House;94.7097
Quarterly;2020;Q1;Commercial: Gallery/Shop;91.98339999999999
Quarterly;2020;Q2;General index;84.70857142857143
Quarterly;2020;Q2;Residential;84.98507142857144
Quarterly;2020;Q2;Commercial: Gallery/Shop;91.9916
Quarterly;2020;Q4;Residential: Villa;90.06914285714286
Quarterly;2021;Q1;Residential;85.10166666666667
Quarterly;2021;Q1;Residential: Plot;85.23135714285715
Quarterly;2021;Q1;Commercial;83.23613333333334
Quarterly;2021;Q1;Agricultural;96.49249999999999
Quarterly;2021;Q1;Agricultural: Land;96.49249999999999
Quarterly;2021;Q2;Residential: Villa;88.03612499999998
Quarterly;2021;Q2;Commercial: Building;95.98675
Quarterly;2021;Q2;Commercial: Gallery/Shop;92.26736363636364
Quarterly;2021;Q3;Residential Plot;87.86
Quarterly;2021;Q3;Residential: Building;98.58657142857143
Quarterly;2021;Q4;Residential: Villa;87.80737500000001
Quarterly;2021;Q4;Commercial: Plot;82.86528571428572
