Periodicity;Year;Quarter;Indicator;Value
Quarterly;2015;Q2;Residential: Villa;100.00814285714286
Quarterly;2015;Q2;Residential: House;99.6779
Quarterly;2015;Q2;Commercial;96.22349999999999
Quarterly;2015;Q2;Agricultural: Land;99.22761538461538
Quarterly;2015;Q3;General index;95.04921428571427
Quarterly;2015;Q3;Commercial: Center;100.815
Quarterly;2015;Q4;Residential: Plot;94.86921428571429
Quarterly;2015;Q4;Residential: Building;102.45857142857143
Quarterly;2015;Q4;Commercial: Gallery/Shop;100.70599999999999
Quarterly;2015;Q4;Commercial: Center;100.68216666666666
Quarterly;2015;Q4;Agricultural: Land;99.30646153846155
Quarterly;2016;Q1;General index;93.01207142857143
Quarterly;2016;Q1;Residential: Building;101.481
Quarterly;2016;Q1;Commercial: Building;101.25666666666666
Quarterly;2016;Q1;Agricultural;99.49330769230768
Quarterly;2016;Q2;Residential: Plot;90.80300000000001
Quarterly;2016;Q2;Residential: Apartment;94.18646153846154
Quarterly;2016;Q2;Residential: House;98.6496
Quarterly;2016;Q2;Commercial: Gallery/Shop;97.5593
Quarterly;2016;Q3;Residential;89.69807142857144
Quarterly;2016;Q3;Residential: Villa;97.84128571428572
Quarterly;2016;Q3;Residential: House;98.7483
Quarterly;2016;Q3;Commercial: Gallery/Shop;99.07410000000002
Quarterly;2016;Q4;Residential: Plot;87.83235714285713
Quarterly;2016;Q4;Residential: Villa;96.90185714285714
Quarterly;2016;Q4;Commercial: Plot;88.13878571428572
Quarterly;2016;Q4;Commercial: Building;101.47000000000001
Quarterly;2017;Q1;Residential: Villa;96.592
Quarterly;2017;Q1;Commercial: Center;100.19833333333334
Quarterly;2017;Q2;General index;85.24907142857144
Quarterly;2017;Q2;Residential;84.75064285714286
Quarterly;2017;Q2;Residential: Plot;84.58621428571428
Quarterly;2017;Q2;Residential: Building;99.53328571428571
Quarterly;2017;Q2;Commercial: Center;100.19833333333334
Quarterly;2017;Q3;Residential: Building;99.178
Quarterly;2017;Q4;General index;85.06985714285715
Quarterly;2017;Q4;Residential: Plot;84.63628571428572
Quarterly;2017;Q4;Residential: Building;99.20242857142857
Quarterly;2017;Q4;Residential: Apartment;87.4586923076923
Quarterly;2017;Q4;Commercial;86.073
Quarterly;2018;Q1;General index;84.74249999999999
Quarterly;2018;Q1;Residential;84.41778571428571
Quarterly;2018;Q1;Residential: Plot;84.28164285714286
Quarterly;2018;Q1;Commercial;85.69235714285715
Quarterly;2018;Q1;Agricultural;98.28053846153846
Quarterly;2018;Q2;Residential: Building;99.35142857142857
Quarterly;2018;Q2;Residential: Apartment;86.51430769230771
Quarterly;2018;Q2;Agricultural: Land;98.0876923076923
Quarterly;2018;Q3;Residential: Villa;92.851
Quarterly;2018;Q3;Agricultural: Land;98.02023076923078
Quarterly;2018;Q4;Residential: Building;99.19285714285715
Quarterly;2018;Q4;Residential: Villa;93.00571428571428
Quarterly;2018;Q4;Commercial: Gallery/Shop;93.962
Quarterly;2018;Q4;Commercial: Center;98.54
Quarterly;2019;Q1;General index;83.23292857142857
Quarterly;2019;Q1;Agricultural;97.8053076923077
Quarterly;2019;Q2;Residential;83.37564285714286
Quarterly;2019;Q2;Commercial;84.36442857142859
Quarterly;2019;Q3;Commercial: Gallery/Shop;91.94200000000001
Quarterly;2019;Q3;Commercial: Center;100.39166666666667
Quarterly;2019;Q3;Agricultural;97.67200000000001
Quarterly;2019;Q4;Residential: Villa;91.64285714285714
Quarterly;2019;Q4;Commercial: Gallery/Shop;92.12570000000001
Quarterly;2019;Q4;Commercial: Center;100.39166666666667
Quarterly;2019;Q4;Agricultural;97.85415384615386
Quarterly;2020;Q1;Residential;84.92407142857142
Quarterly;2020;Q1;Residential: Building;98.58042857142857
Quarterly;2020;Q1;Residential: Villa;90.95899999999999
Quarterly;2020;Q1;Agricultural;97.97723076923077
Quarterly;2020;Q2;Residential: Building;98.53142857142858
Quarterly;2020;Q3;Residential: Apartment;83.63230769230769
Quarterly;2020;Q3;Residential: House;94.5194
Quarterly;2020;Q3;Commercial: Plot;83.29357142857144
Quarterly;2020;Q3;Commercial: Center;100.39316666666667
Quarterly;2020;Q4;General index;84.30785714285715
Quarterly;2020;Q4;Commercial;83.01978571428572
Quarterly;2020;Q4;Commercial: Plot;82.95707142857144
Quarterly;2020;Q4;Commercial: Building;101.49566666666668
Quarterly;2020;Q4;Commercial: Center;100.39316666666667
Quarterly;2020;Q4;Agricultural: Land;97.59969230769231
Quarterly;2021;Q1;Residential: Building;98.58657142857143
Quarterly;2021;Q1;Commercial: Center;100.39316666666667
Quarterly;2021;Q2;General index;87.90228571428574
Quarterly;2021;Q2;Residential;85.0972
Quarterly;2021;Q2;Agricultural;96.67092857142856
Quarterly;2021;Q3;Residential: Plot;84.25800000000002
Quarterly;2021;Q3;Residential: Apartment;83.48649999999999
Quarterly;2021;Q3;Residential: Floor;89.35
Quarterly;2021;Q4;Residential: Apartment;83.38485714285714
Quarterly;2021;Q4;Residential: Floor;91.74
Quarterly;2021;Q4;Residential: House;94.19250000000001
Quarterly;2021;Q4;Commercial Plot;88.1
Quarterly;2021;Q4;Agricultural: Land;96.94742857142857
Quarterly;2022;Q1;Commercial: Building;97.66925
Quarterly;2022;Q2;General index;90.24157142857145
Quarterly;2022;Q2;Residential Plot;96.42
Quarterly;2022;Q2;Residential: Floor;96.95
Quarterly;2022;Q2;Commercial;83.74073333333332
Quarterly;2022;Q2;Commercial: Gallery/Shop;92.34845454545456
Quarterly;2022;Q3;Residential: Building;98.66871428571429
Quarterly;2022;Q4;Residential: Building;98.66871428571427
Quarterly;2022;Q4;Commercial;83.4872
Quarterly;2022;Q4;Commercial: Gallery/Shop;91.85427272727271
Quarterly;2022;Q4;Commercial: Center;100.42683333333332
Quarterly;2023;Q1;General index;92.15110714285713
Quarterly;2023;Q1;Residential: Apartment;85.70135714285712
Quarterly;2023;Q1;Commercial: Building;100.89425000000001
Quarterly;2023;Q2;General index;92.89407142857145
Quarterly;2023;Q2;Residential: Building;98.32457142857143
Quarterly;2023;Q2;Residential: Villa;88.60875
Quarterly;2023;Q2;Residential: House;94.88919999999999
Quarterly;2023;Q2;Commercial Plot;98.86
Quarterly;2023;Q3;Residential: Plot;85.64799999999998
