السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,2,الربع الثاني,الرياض,الرياض,العوالي,دور,سكني,3,2653000,596.99,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,النسيم الشرقي,أرض,تجاري,2,9150000,2318.19,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الزهرة,فيلا,سكني,4,5975000,2000,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الخرج,الناصفة,شقة,سكني,1,662130,158.43,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الملز,أرض,سكني,4,10825500,2488.5,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,سلطانة,دور,سكني,2,1480000,353.74,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الرمال,أخرى,سكني,1,1335000,234.79,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الخالدية,أخرى,أخرى,2,300000,226.68,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الملز,دور,سكني,2,2000000,327.64,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الخير,فيلا,سكني,1,874818,600,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الحزم,مبنى,تجاري,1,4500000,1003.75,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الخليج,أرض,تجاري,1,4250000,1050,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الفيصلية,أرض,سكني,1,50000,300,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الروابي,فيلا,سكني,5,9522604.01,2246.83,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,العريجاء الغربي,دوبلكس,سكني,2,2090000,505.45,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الندوة,أرض,سكني,3,3743000,950.48,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الخرج,الفيصلية,أرض,تجاري,1,1000000,600,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الملك فيصل,دور,سكني,3,3859000,579.87,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,اليرموك,دور,سكني,2,1300001,360.74,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,القويعية,أخرى,أرض,تجاري,1,50000,10000,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,القادسية,أرض,تجاري,2,15052400,3948,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,العريجاء الأوسط,فيلا,سكني,2,1600000,900,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,غرناطة,أخرى,أخرى,2,1600000,156.51,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,النسيم الشرقي,أرض,سكني,1,764000,500,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,ضاحية نمار,دوبلكس,سكني,1,1320000,314.66,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,ضاحية نمار,أخرى,سكني,1,1000000,2285,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الياسمين,أرض,سكني,4,5966000,1623,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الفيصلية,أرض,تجاري,1,2000000,900,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الضباط,فيلا,سكني,2,13200000,1084,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الخرج,فرزان,أرض,سكني,5,910000,2265,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الياسمين,دوبلكس,سكني,1,1,250,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,طيبة,أرض,تجاري,3,27923293,21526.09,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الملك سلمان,أخرى,أخرى,1,4600000,315,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,العريجاء الأوسط,مبنى,تجاري,1,1072500,400,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الربيع,شقة,سكني,2,2400000,230.48,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,العريجاء الأوسط,مبنى,تجاري,1,1700000,440,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الشفاء,أخرى,سكني,1,10981666.66,3294.5,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,مغرزات,أرض,سكني,1,3250000,375,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,المنصورة,مبنى,تجاري,1,10000000,1500,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الزلفي,علقة,أخرى,أخرى,1,54456.5,155.59,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,المحمدية,أرض,سكني,1,2800000,675,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,السعادة,فيلا,سكني,4,6685000,1356.5,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,النسيم الشرقي,فيلا,سكني,4,8004064.49,2510,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,منفوحة,أخرى,أخرى,4,2550000,524.53,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,القدس,دور,سكني,1,1850000,207.81,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,وادي لبن,دوبلكس,سكني,1,1150000,370.71,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الحائر,فيلا,سكني,3,605000,1092.83,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,حطين,أخرى,تجاري,1,245056,1400,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الدلم,أخرى,شقة,سكني,1,264000,297.87,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الوادي,دور,سكني,2,3095293,417.26,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الروضة,مبنى,تجاري,1,9500000,1844.35,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,المصيف,فيلا,سكني,4,8330000,1882,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,النزهة,فيلا,سكني,2,5900873,697.7,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الخرج,القطار,دوبلكس,سكني,1,45000,225,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الحائر,أرض,سكني,1,150000,600,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الخرج,مشرفة,دور,سكني,5,2779000,974.38,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,القادسية,دور,سكني,5,5870000,997.08,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الزلفي,اليمامة,دور,سكني,1,300000,169.09,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,القيروان,مبنى,تجاري,2,10000000,1250,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الزلفي,أخرى,أرض,زراعي,5,5800000,145820.23,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الريان,دوبلكس,سكني,1,2750000,341.01,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,المناخ,فيلا,سكني,1,6562500,3750,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الخرج,السيح,دوبلكس,سكني,1,650000,209.17,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,المناخ,أرض,سكني,5,5757646,4032.39,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,القيروان,أخرى,أخرى,1,1,15000,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,السلام,شقة,سكني,5,3585270.1,721.97,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الخرج,الفيصلية,دور,سكني,2,799787,342.9,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الورود,فيلا,سكني,4,70458076,3380,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,النفل,أرض,سكني,1,5700000,810,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,لبن,أخرى,أخرى,1,590000,62.16,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الغدير,فيلا,سكني,1,8950000,750,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,المصفاة,أخرى,أخرى,2,4700000,2350,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الحريق,المدينة الجديدة,أرض,سكني,2,630000,1030,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,شبرا,أرض,سكني,4,3756456,1329.85,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,عرقة,أرض,سكني,3,12604503.64,1974.98,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,المجمعة,الفيحاء,أرض,سكني,1,400000,781.49,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الرمال,أخرى,تجاري,1,3600000,947.7,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,حوطة بني تميم,النهضة,أرض,سكني,1,1815000,2013,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الزهرة,فيلا,سكني,3,3690000,1300,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,لبن,مبنى,تجاري,1,5050000,800,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,عتيقة,أرض,سكني,1,160000,132.72,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,العريجاء الأوسط,دوبلكس,سكني,1,1410000,257.02,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,المونسية,أرض,سكني,5,6860803.34,2292.8,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الفاروق,دوبلكس,سكني,1,1050000,347.64,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,العريجاء,أرض,سكني,1,930780,450,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الفلاح,شقة,سكني,5,6464000,566.33,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,المعذر,فيلا,سكني,1,2650000,150,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,اليرموك,فيلا,سكني,2,2,1375,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,أم الحمام الشرقي,دوبلكس,سكني,3,8400000,919.66,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,بدر,مبنى,تجاري,2,4250000,1300,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,النسيم الشرقي,أرض,سكني,4,4858957.43,2038.97,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,شبرا,شقة,سكني,2,1934000,393.3,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,اليرموك,دور,سكني,5,6630000,1040.76,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,العمل,أخرى,أخرى,2,1000000,281.68,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,المونسية,أرض,سكني,1,1916574.6,318,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الروضة,فيلا,سكني,4,11770001,2287,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الوادي,أرض,سكني,1,1950000,1125,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الخرج,الزاهر,أرض,سكني,2,294801,713.86,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الغاط,أخرى,أرض,سكني,2,195000,1690,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,عليشة,دوبلكس,سكني,1,1900000,362.14,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الخرج,النخيل,أرض,زراعي,2,1450000,10000,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,السلي,أخرى,أخرى,2,5760000,2400,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الياسمين,أخرى,أخرى,2,95768593,12132.1,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,أم سليم,أخرى,أخرى,1,1000000,126,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,عرقة,شقة,سكني,2,3650000,293.47,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,البرية,دور,سكني,2,1046000,266.88,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الصحافة,أرض,تجاري,5,390243872.2,10930,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,المناخ,أخرى,سكني,1,950000,625,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الغدير,فيلا,سكني,4,20850000,1905,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,ظهرة البديعة,دور,سكني,5,4050000,1076.05,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الزهراء,أرض,سكني,2,9560000,1750,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,مطار الملك خالد الدولي,أرض,تجاري,1,1650000,307.5,NULL,NULL,NULL
2025,2,الربع الثاني,الرياض,الرياض,الروضة,دوبلكس,سكني,1,2650000,250,NULL,NULL,NULL
