index,servicecode,service,servicear,sectorgeorrcode,submunrrcode,submunrr,submunrrar,districtcode,district,districtar,parcel_area,plotarea_m2,comments,commentsar,lat,lon
51,070255130062,Firstaiment,فيرستيمنت,3.0,07,AR-RAWDAH,الروضة,0702,AR-RIMAL,الرمال,24530.0,24530.0,,,24.84903306,46.78140489
13,011355140036,Fun Gate,فن جيت,1.0,01,AL-OLAYA,العليا,0113,AL-OLAYA,العليا,23211.0,1331.0,,,24.70610134,46.68860781
9,010855140022,Strike 11,استرايك 11,1.0,01,AL-OLAYA,العليا,0108,MUGHARAZAT,المغرزات,20598.0,793.0,,,24.7649073,46.71622454
19,020655140046,Sparky's,سباركيز,1.0,02,AL-MALAZ,الملز,0206,AR-RABWAH,الربوة,19461.0,450.0,,,24.69270137,46.7644464
63,071455140007,Chuck E. cheese,تشكي تشيز,3.0,07,AR-RAWDAH,الروضة,0714,ASH-SHOHDA,الشهداء,4545.0,4545.0,,,24.79043517,46.7408472
4,010355140010,Oppa,اوبا,1.0,01,AL-OLAYA,العليا,0103,AT-TAAWUN,التعاون,2052.0,2052.0,,,24.77689684,46.70794054
32,050455140008,Chuck E. cheese,تشكي تشيز,2.0,05,SHIMAL-Al-Riyadh,شمال الرياض,0504,AL-YASMEEN,الياسمين,1150.0,1150.0,,,24.82412821,46.65397655
33,050555130013,Joy Zone,جوي زون,2.0,05,SHIMAL-Al-Riyadh,شمال الرياض,0505,AS-SAHAFA,الصحافة,1112.0,1112.0,,,24.79836522,46.64291608
7,010755140071,Sondouki Club,نادي صندوقي,1.0,01,AL-OLAYA,العليا,0107,AL-NUZHA,النزهة,994.0,,,,24.7637333,46.704931
69,120655130056,TORY LAND,توري لاند,5.0,12,AL-URAIJA,العريجاء,1206,AS-SUWAIDI AL-GHARBI,السويدي الغربي,944.0,944.0,,,24.56137493,46.64257043
26,050155130066,6Meem Entertainment _iCombat,شركة ستة ميم للترفيه,2.0,05,SHIMAL-Al-Riyadh,شمال الرياض,0501,AL-QAIRAWAN,القيروان,,3499.0,,,24.8246419,46.5616668
