dbn,school_name,latitude,longitude,attendance_rate_hs,attendance_rate_k8,graduation_rate
12X478,The Cinema School,40.831416,-73.877785,0.853,,0.949
23K644,Eagle Academy for Young Men II,40.677805,-73.915843,,,
07X221,South Bronx Preparatory: A College Board School,40.813983,-73.920782,0.943,0.949,0.975
14K561,Williamsburg Preparatory School,40.715073,-73.954754,0.913,,0.983
14K614,Young Women's Leadership School of Brooklyn (TYWLS),40.705204,-73.939407,0.841,0.842,0.965
01M539,"New Explorations into Science, Technology and Math High School (NEST+m)",40.718895,-73.979308,0.947,0.982,0.985
19K615,Transit Tech Career and Technical Education High School,40.678276,-73.87596,,,
08X348,Schuylerville Preparatory High School,40.840702,-73.838545,0.819,,0.851
08X561,Bronx Compass High School,40.82229,-73.856167,0.877,,0.873
24Q585,Maspeth High School,40.729939,-73.887482,,,
17K543,"Science, Technology and Research Early College High School at Erasmus (STAR)",40.649787,-73.95855,0.915,0.932,1.0
26Q495,Bayside High School,40.771755,-73.780296,,,
03M541,Manhattan / Hunter Science High School,40.774351,-73.984753,0.983,,0.973
11X418,Bronx High School for the Visual Arts,40.851405,-73.865036,0.814,,0.813
30Q286,"Young Women's Leadership School, Astoria (TYWLS)",40.771215,-73.924591,,,
05M670,Thurgood Marshall Academy for Learning and Social Change,40.815449,-73.944061,0.755,0.771,0.844
18K633,High School for Medical Professions,40.641474,-73.898254,,,
02M489,High School of Economics and Finance,40.709196,-74.012022,0.856,,0.914
31R450,Curtis High School,40.644735,-74.081222,,,
29Q326,Cambria Heights Academy,40.711849,-73.771195,,,
24Q293,Civic Leadership Academy,40.74373,-73.870642,,,
08X432,Bronx Bridges High School,40.82229,-73.856167,0.848,,0.919
02M298,Pace High School,40.716553,-73.993092,0.744,,0.752
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",40.875916,-73.90111,0.85,,0.828
11X514,The Bronxwood Preparatory Academy,40.887831,-73.852694,0.856,,0.849
03M291,West End Secondary School,40.772007,-73.987479,0.949,0.954,
02M580,Richard R. Green High School of Teaching,40.705024,-74.012977,0.777,,0.884
10X440,DeWitt Clinton High School,40.882178,-73.88691,0.857,,0.908
18K566,Brooklyn Community High School for Excellence and Equity,40.633285,-73.916735,,,
27Q351,Rockaway Collegiate High School,40.586066,-73.822624,,,
05M304,Mott Hall High School,40.817372,-73.947712,0.712,,0.804
07X427,Community School for Social Justice,40.815938,-73.930386,0.61,,0.671
15K667,Sunset Park High School,40.65571,-74.005197,0.765,,0.881
13K595,Bedford Academy High School,40.68538,-73.954302,0.939,,0.976
22K611,Origins High School,40.594124,-73.937696,,,
24Q520,Middle College High School at LaGuardia Community College,40.744412,-73.93364,,,
08X282,Women's Academy of Excellence,40.814833,-73.85658,0.801,,0.724
26Q315,Business Technology Early College High School (BTECH),40.733066,-73.738756,,,
04M435,Manhattan Center for Science and Mathematics,40.793856,-73.934028,0.941,,0.972
21K410,Abraham Lincoln High School,40.581681,-73.967308,,,
12X682,Fannie Lou Hamer Freedom High School,40.83087,-73.88626,0.692,,0.814
13K439,Brooklyn International High School,40.697339,-73.985016,0.777,,0.804
27Q309,Academy of Medical Technology: A College Board School,40.60201,-73.762795,,,
14K449,The Brooklyn Latin School,40.709941,-73.943641,0.949,,0.975
06M423,High School for Excellence and Innovation,40.866053,-73.924835,,,
