osm_id,osm_type,name,name_en,place,admin_level,latitude,longitude
13253980,relation,الأندلس,Al Andalus District,neighbourhood,10,24.7434698,46.7886063
13253981,relation,النهضة,Al Nahdhah District,neighbourhood,10,24.7605267,46.8158178
13253982,relation,حي الخليج,Al Khalij District,neighbourhood,10,24.7768606,46.80298
13253983,relation,اشبيلية,Al Ishbiliyah District,neighbourhood,10,24.7928027,46.792279
13253984,relation,الحمراء,Hamra District,neighbourhood,10,24.7755155,46.7535417
13253985,relation,اليرموك,Al Yarmouk District,neighbourhood,10,24.8078691,46.7834871
13253986,relation,قرطبة,Qurtubah,neighbourhood,10,24.8162225,46.7357856
13253987,relation,المونسية,المونسية,neighbourhood,10,24.832702,46.7697712
13253988,relation,حي الفيحاء,Al Fayha District,neighbourhood,10,24.6818742,46.8114923
13253989,relation,حي السعادة,As Sa`adah District,neighbourhood,10,24.6976162,46.8366319
13253990,relation,حي النور,Al Nour District,neighbourhood,10,24.6317406,46.8161164
13253991,relation,حي السلى,As Sulayy District,neighbourhood,10,24.6539619,46.8542998
13253992,relation,حي المشاعل,Al Mashael District,neighbourhood,10,24.6159471,46.868556
13253993,relation,حي الجزيرة,Al Jazirah District,neighbourhood,10,24.664647,46.7964098
13253994,relation,حي الروابي,Al Rawabi District,neighbourhood,10,24.6960834,46.7914926
13253995,relation,حي الريان,Rayyan District,neighbourhood,10,24.7113314,46.7782867
13253996,relation,حي المنار,Al Manar District,neighbourhood,10,24.725371,46.7972475
13253997,relation,النسيم الغربي,Al Naseem District West,neighbourhood,10,24.7256904,46.8239764
13253998,relation,النسيم الشرقي,Al Naseem District East,neighbourhood,10,24.7375478,46.8426396
13253999,relation,حي المعيزيلة,Al Maizliyyah District,neighbourhood,10,24.7876494,46.8249263
13254000,relation,حي القادسية,Al-Qadisiyah District,neighbourhood,10,24.8198219,46.8239404
13254001,relation,حي الرمال,Al Rimal District,neighbourhood,10,24.8633788,46.8138366
13254002,relation,حي الجنادرية,Al Janadriyah District,neighbourhood,10,24.8666956,46.9239218
13254003,relation,حي الرماية,Al Rimayah District,neighbourhood,10,24.7752006,46.8735045
13254004,relation,حي النظيم,Al-Nazim District,neighbourhood,10,24.8633408,46.9676111
13254005,relation,الشرق,الشرق,neighbourhood,10,24.8723999,46.8636159
13254378,relation,النرجس,Al Nargis District,neighbourhood,10,24.8945526,46.6448507
13254379,relation,جامعة الإمام محمد بن سعود الإسلامية,Imam Muhammad ibn Saud University,,10,24.812593,46.7023443
13254380,relation,الندى,Al Nada District,neighbourhood,10,24.8058522,46.6829683
13254381,relation,الصحافة,As Sahafah District,neighbourhood,10,24.7963772,46.6376544
13254382,relation,الياسمين,Al Yasmin District,neighbourhood,10,24.8218455,46.6419719
13254383,relation,الفلاح,Al Falah District,neighbourhood,10,24.7970459,46.709201
13254384,relation,الوادي,Al Wadi District,neighbourhood,10,24.7894852,46.6912353
13254385,relation,النفل,Al Nafil District,neighbourhood,10,24.7818897,46.673287
13254386,relation,العقيق,Al Aqeeq District,neighbourhood,10,24.7736192,46.6299827
13254387,relation,الربيع,Al Rabiea District,neighbourhood,10,24.7945691,46.6606285
13254388,relation,الغدير,Al Ghadir District,neighbourhood,10,24.7736583,46.6546198
13254389,relation,حطين,Hittin District,neighbourhood,10,24.7613192,46.6008961
13254390,relation,النخيل,Al Nakheel District,neighbourhood,10,24.7424069,46.62296
13254391,relation,المروج,Almuruj Dstrict,neighbourhood,10,24.7572552,46.6619573
13254392,relation,المصيف,Al Masif District,neighbourhood,10,24.7654898,46.681536
13254393,relation,التعاون,At Taawun Distrikt,neighbourhood,10,24.7730503,46.6994968
13254394,relation,الازدهار,Al Izdihar District,neighbourhood,10,24.780614,46.7174689
13254395,relation,المحمدية,Al Muhammadiyah,neighbourhood,10,24.7325641,46.6488285
13254396,relation,الملك فهد,King Fahd District,neighbourhood,10,24.7406273,46.6703366
13254397,relation,المرسلات,Mursalat District,neighbourhood,10,24.7488722,46.6898869
13254398,relation,النزهة,Al Nuzhah District,neighbourhood,10,24.7564399,46.7079116
13254399,relation,المغرزات,Al Mugharzat District,neighbourhood,10,24.7640196,46.7257219
13254400,relation,الواحة,Al Waha District,neighbourhood,10,24.7411843,46.7144942
13254401,relation,صلاح الدين,Salah ad Din District,neighbourhood,10,24.7328058,46.6972634
13254402,relation,الورود,Al Wuroud District,neighbourhood,10,24.7243738,46.6784981
13254403,relation,الرحمانية,Ar Rahmaniyah District,neighbourhood,10,24.7161022,46.6593948
13254404,relation,جامعة الملك سعود,King Saud University,neighbourhood,10,24.7240028,46.6244546
13254405,relation,الرائد,Al Raid District,neighbourhood,10,24.7073495,46.6386318
13254406,relation,الخزامى,Al Khuzama District,neighbourhood,10,24.7148167,46.5997709
13254407,relation,عرقة,Irqah District,neighbourhood,10,24.6890591,46.5872079
13254408,relation,المهدية,Mahdia District,neighbourhood,10,24.646829,46.5311274
13254409,relation,السفارات,Al Safarat District,neighbourhood,10,24.6814326,46.6226055
13254410,relation,الهدا,Al Hada District,neighbourhood,10,24.6639386,46.6277935
13254411,relation,أم الحمام الغربي,District of Umm Al-Hamam (West),neighbourhood,10,24.6894698,46.6434151
13254412,relation,أم الحمام الشرقي,أم الحمام الشرقي,neighbourhood,10,24.6828333,46.6593107
13254413,relation,الشرفية,Ash Sharafiyah,neighbourhood,10,24.6639136,46.6608517
13254414,relation,المعذر,Al Madhar ash Shamali District,neighbourhood,10,24.6656118,46.6768021
13254415,relation,المؤتمرات,Al Mutamarat District,neighbourhood,10,24.6698558,46.6869858
13254416,relation,المعذر الشمالي,North Maathar District,neighbourhood,10,24.6916491,46.6662311
13254417,relation,العليا,Al Olaya District,neighbourhood,10,24.6923969,46.6834325
13254418,relation,السليمانية,As Sulaymaniyah District,neighbourhood,10,24.6986005,46.702523
13254419,relation,ظهرة لبن,Zahrat Laban District,neighbourhood,10,24.6336277,46.550461
13254420,relation,العريجاء,Al Urayja,neighbourhood,10,24.6259923,46.656686
13254421,relation,الرفعية,Al Rafiah District,neighbourhood,10,24.6378309,46.6604239
13254422,relation,الناصرية,An Nasiriyah District,neighbourhood,10,24.6518679,46.6679056
13254423,relation,الفاخرية,Al Fakhiriyah District,neighbourhood,10,24.6423358,46.6831056
13254424,relation,عليشه,عليشه,neighbourhood,10,24.6333529,46.6840898
13254425,relation,النموذجية,An Namudhajiyah,neighbourhood,10,24.6571643,46.6936093
13254426,relation,الوشام,Al Washam District,neighbourhood,10,24.6436367,46.6982554
13254427,relation,أم سليم,Umm Salim District,neighbourhood,10,24.633783,46.6984746
13254428,relation,الشميسي,Ash Shumaysi District,neighbourhood,10,24.6241601,46.6993461
13254429,relation,الجرادية,Al Jarradiyah District,neighbourhood,10,24.6144742,46.6998159
13254430,relation,صياح,Siyah District,neighbourhood,10,24.6081096,46.7014542
13254431,relation,الملقا,Al Malga District,neighbourhood,10,24.800765,46.5977264
13254432,relation,غرناطة,Ghirnatah District,neighbourhood,10,24.7919274,46.7443464
13254433,relation,المربع,Al Murabba District,neighbourhood,10,24.6628848,46.7070539
13254434,relation,الفوطة,Al Futah District,neighbourhood,10,24.6421551,46.7104455
13254435,relation,الديرة,Al Deerah District,neighbourhood,10,24.6305883,46.7105727
13254436,relation,العمل,Al Amal,neighbourhood,10,24.6457824,46.7244264
13254437,relation,ثليم,Thulaym District,neighbourhood,10,24.6413128,46.7271811
13254438,relation,المرقب,Al Marqab District,neighbourhood,10,24.6349341,46.7257149
13254439,relation,سلام,Salam District,neighbourhood,10,24.6216843,46.7084959
13254441,relation,البطيحا,Batha District,neighbourhood,10,24.6218746,46.7200893
13254442,relation,جبرة,Jabrah District,neighbourhood,10,24.6254186,46.7189071
13254443,relation,الوسيطا,Al Wasitiyya District,neighbourhood,10,24.6242066,46.7157191
13254444,relation,معكال,Mikal District,neighbourhood,10,24.6230985,46.7147347
13254445,relation,السكيرينه,As Skirinah District,neighbourhood,10,24.6163753,46.7178086
13254446,relation,منفوحة الجديدة,Manfuha Al-Jadidah District,neighbourhood,10,24.613365,46.7192109
13254447,relation,غبيرا,Gbraya District,neighbourhood,10,24.6172585,46.7364032
13254448,relation,عتيقه,عتيقه,neighbourhood,10,24.6016168,46.7074664
13254449,relation,البديعة,Al Badiah District,neighbourhood,10,24.6164985,46.6840619
13254450,relation,سلطانة,Sultanah District,neighbourhood,10,24.6042877,46.6877731
13254451,relation,وادي لبن,Wadi Laban,,10,24.5991474,46.5465742
13254452,relation,الملك عبدالله,King Abdullah District,neighbourhood,10,24.7324161,46.741411
13254453,relation,حديقة الملك سلمان,حديقة الملك سلمان,neighbourhood,10,24.7218175,46.7197668
13254454,relation,الوزارات,Al Wizarat District,neighbourhood,10,24.6791431,46.7131979
13254455,relation,الزهراء,Al Zahraa District,neighbourhood,10,24.6871267,46.731978
13254456,relation,الضباط,Ad Dubbat District,neighbourhood,10,24.6799305,46.7232451
13254457,relation,العود,Al Oud District,neighbourhood,10,24.6266583,46.7263472
13254458,relation,الصالحية,As Salihiyah District,neighbourhood,10,24.6302967,46.7357943
13254459,relation,الخالدية,Al Khalideyeh District,neighbourhood,10,24.6232746,46.7533042
13254460,relation,الصناعية القديمة,As Sinaiyah District,neighbourhood,10,24.6418977,46.7465938
13254461,relation,الملز,Al Malaz District,neighbourhood,10,24.6635678,46.735222
13254462,relation,جرير,Jarir District,neighbourhood,10,24.677353,46.7511092
13254463,relation,الربوة,Al Rabwah District,neighbourhood,10,24.6937606,46.7546417
13254464,relation,الصفا,As Safah District,neighbourhood,10,24.666854,46.7664618
13254465,relation,الفاروق,Al Faruq District,neighbourhood,10,24.6537411,46.7732647
13254466,relation,الفيصلية,Al Faisaliah District,neighbourhood,10,24.6343619,46.7817125
13254467,relation,المنصوره,Al Mansurah District,neighbourhood,10,24.6081233,46.7468645
13254468,relation,منفوحة,Manfuhah District,neighbourhood,10,24.5994586,46.7283747
13254469,relation,اليمامة,Al Yamamah District,neighbourhood,10,24.5962039,46.7158947
13254470,relation,الدريهمية,Ad Duraihimiyah District,neighbourhood,10,24.5894847,46.6952857
13254471,relation,السويدي,As-Suwaidi District,neighbourhood,10,24.5908078,46.6790643
13254472,relation,شبرا,Shubra District,neighbourhood,10,24.5787888,46.6680571
13254473,relation,العريجاء الوسطى,Al Urayja al Wusta District,neighbourhood,10,24.6050826,46.6408019
13254474,relation,ظهرة البديعة,Zahrat al Badiah District,neighbourhood,10,24.597134,46.6509616
13254475,relation,الزهرة,Al Zahrah District,neighbourhood,10,24.5786748,46.645746
13254476,relation,السويدي الغربي,As Suwaydi al Gharbi District,neighbourhood,10,24.5744197,46.6247843
