id,latitude,longitude,price,room_type,neighbourhood_cleansed,neighbourhood_group_cleansed
862998268756294318,40.6462995,-73.94742839999999,,Private room,East Flatbush,Brooklyn
863070486728957833,40.76238,-73.98711,,Private room,Hell's Kitchen,Manhattan
863079371414230030,40.7696,-73.92356,,Entire home/apt,Astoria,Queens
863086394921757756,40.678476103366044,-73.94916650858367,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
863994418425862340,40.74512176367798,-73.91063679009676,,Private room,Woodside,Queens
864065069541988795,40.72219,-73.97941,,Entire home/apt,East Village,Manhattan
864120969128195666,40.80145,-73.9449,,Private room,East Harlem,Manhattan
864253646080660921,40.7418623,-73.8747498,,Entire home/apt,Elmhurst,Queens
864396960975387562,40.701328854745505,-73.91260327220415,,Private room,Bushwick,Brooklyn
864414440563027383,40.66940073298312,-73.78960002994705,,Entire home/apt,South Ozone Park,Queens
864683250052604503,40.653497,-74.00353,,Private room,Sunset Park,Brooklyn
865171499991948256,40.7989627,-73.9411959,,Entire home/apt,East Harlem,Manhattan
865230549026339190,40.756989251483105,-73.86015288766659,,Private room,Jackson Heights,Queens
863089350951779284,40.74987,-73.99716,,Entire home/apt,Chelsea,Manhattan
863124089220260072,40.67441884969232,-73.97741285872112,,Entire home/apt,Park Slope,Brooklyn
863144823566273407,40.67288756253589,-73.94671354083464,,Entire home/apt,Crown Heights,Brooklyn
865335974410390719,40.64200701901312,-73.9391835371188,,Entire home/apt,East Flatbush,Brooklyn
865479841102912873,40.6473,-73.94912,,Private room,East Flatbush,Brooklyn
865486116964150164,40.676789944673345,-73.79304833810723,,Private room,Jamaica,Queens
865605175906629028,40.68748,-73.921,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
865787534997394407,40.6872,-73.91904,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
865791593782195807,40.68884,-73.92043,,Entire home/apt,Bushwick,Brooklyn
865795436428289529,40.68883880396209,-73.91942149170053,,Entire home/apt,Bushwick,Brooklyn
865828592376110628,40.86447,-73.89955,,Private room,Fordham,Bronx
865881075739058090,40.7377941,-74.00228129999999,,Entire home/apt,West Village,Manhattan
863149230242102130,40.75438,-73.99381,,Private room,Hell's Kitchen,Manhattan
863165314352438678,40.68224777773829,-73.94313902556569,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
863254886048091265,40.69637380089159,-73.75909321557961,,Private room,St. Albans,Queens
863368962371246498,40.69666,-73.94548,,Private room,Bedford-Stuyvesant,Brooklyn
863594130425703140,40.65550598498244,-73.93426584584446,,Private room,East Flatbush,Brooklyn
863615264380782152,40.68412395784491,-73.9193356345051,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
863670264173228640,40.65503635761535,-73.93478809732403,,Private room,East Flatbush,Brooklyn
863679242254441670,40.74878150229526,-73.94531765700673,,Entire home/apt,Long Island City,Queens
866020391538719699,40.640595,-73.9635946,,Private room,Flatbush,Brooklyn
866028568381589241,40.76252551109945,-73.9823823735193,,Entire home/apt,Theater District,Manhattan
866204046810136699,40.81205,-73.95822,,Private room,Morningside Heights,Manhattan
866409594143336866,40.6872,-73.9188,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
866504897024300729,40.7648669674944,-73.98667843152336,,Entire home/apt,Hell's Kitchen,Manhattan
866505935950430131,40.63872080384429,-73.90918636636776,,Private room,Canarsie,Brooklyn
866518628279065718,40.78330118433245,-73.94552778023387,,Entire home/apt,Upper East Side,Manhattan
863733005126162178,40.7029477891808,-73.89821661565234,,Entire home/apt,Ridgewood,Queens
863746617249208195,40.75984,-73.98589,,Private room,Theater District,Manhattan
863837770757500365,40.6940283,-73.8442726,,Private room,Richmond Hill,Queens
863865333531295342,40.75416,-73.96754,,Entire home/apt,Midtown,Manhattan
870212853386092000,40.68765258088701,-73.93524185190145,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
870319787566373067,40.69279929590445,-73.93858740056328,,Private room,Bedford-Stuyvesant,Brooklyn
870420092221946863,40.78185,-73.94543,,Entire home/apt,Upper East Side,Manhattan
870662801624917253,40.7782,-73.95317,,Entire home/apt,Upper East Side,Manhattan
871071720172614762,40.72031399999999,-73.9583,,Private room,Williamsburg,Brooklyn
866646143317431123,40.710228111120614,-74.00864579696933,,Entire home/apt,Financial District,Manhattan
866698991976612799,40.761524069164054,-73.96474914443037,,Entire home/apt,Upper East Side,Manhattan
866705350619669421,40.75749595965683,-73.99597769499255,,Entire home/apt,Hell's Kitchen,Manhattan
866726967608392853,40.71029963391112,-74.00834707016185,,Entire home/apt,Financial District,Manhattan
866730343707283334,40.72402407295955,-73.99451278766333,,Entire home/apt,Nolita,Manhattan
866773461643841206,40.65066,-74.00498,,Private room,Sunset Park,Brooklyn
866859234391760001,40.6769323,-73.80483559999999,,Private room,South Ozone Park,Queens
866879869677043120,40.730383712128365,-74.00413087163571,,Entire home/apt,West Village,Manhattan
866900662760031357,40.70300929492387,-73.92478195479273,,Private room,Bushwick,Brooklyn
871075934437189983,40.6918803858158,-73.9026305971144,,Entire home/apt,Bushwick,Brooklyn
871090697729762049,40.681980429841055,-73.93535439407326,,Private room,Bedford-Stuyvesant,Brooklyn
871115043844246546,40.61251107308673,-73.94860687175557,,Private room,Midwood,Brooklyn
871130656679130119,40.76728905272269,-73.93057035435122,,Private room,Astoria,Queens
871148039667443773,40.64924558102422,-74.00720880849714,,Private room,Sunset Park,Brooklyn
871154078710229055,40.64871015121519,-74.00672758762477,,Private room,Sunset Park,Brooklyn
866931048866229926,40.577670375601144,-73.98511611675345,,Private room,Coney Island,Brooklyn
866980963931403533,40.78114982632827,-73.95305285208312,,Entire home/apt,Upper East Side,Manhattan
867195127051545817,40.76340779424202,-73.99480133398608,,Entire home/apt,Hell's Kitchen,Manhattan
867315278647828192,40.70467330865919,-73.90598548424335,,Private room,Ridgewood,Queens
867385242229456287,40.59873352572224,-74.13179959747025,,Entire home/apt,Willowbrook,Staten Island
867404878141992486,40.72090353865539,-73.94053649857936,,Private room,Greenpoint,Brooklyn
867406219730555446,40.84566,-73.94038,,Private room,Washington Heights,Manhattan
867448908138953559,40.8768356568717,-73.88476493022623,,Private room,Norwood,Bronx
867503961112419494,40.68005,-73.91499,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
867508048947886657,40.73472,-73.98697,,Entire home/apt,Gramercy,Manhattan
871154085124580402,40.64736,-74.00807,,Private room,Sunset Park,Brooklyn
871154090090879590,40.648877855069195,-74.00893008508147,,Private room,Sunset Park,Brooklyn
871162499986291750,40.64722,-74.00725,,Private room,Sunset Park,Brooklyn
871166936573252303,40.64724074687109,-74.00751297708855,,Private room,Sunset Park,Brooklyn
871169372301220033,40.80721,-73.95431,,Entire home/apt,Harlem,Manhattan
867626578080817403,40.67964144100545,-73.94484186773681,,Entire home/apt,Bedford-Stuyvesant,Brooklyn
867959795483328509,40.74120093080387,-73.99778556351717,,Entire home/apt,Chelsea,Manhattan
867964370199094869,40.73485,-73.98007,,Entire home/apt,Gramercy,Manhattan
868137929514017172,40.72554094061817,-73.94779546336628,,Entire home/apt,Greenpoint,Brooklyn
868140173684117848,40.7397388,-73.9843389,,Private room,Kips Bay,Manhattan
868166766328344635,40.6966017,-73.9747498,,Private room,Fort Greene,Brooklyn
868171732866655474,40.6966,-73.97475,,Private room,Fort Greene,Brooklyn
868172672914462379,40.6966,-73.97475,,Private room,Fort Greene,Brooklyn
871177819664985065,40.64813187795266,-74.00678798337036,,Private room,Sunset Park,Brooklyn
871200484656283015,40.65901,-73.97596,,Entire home/apt,Windsor Terrace,Brooklyn
871264661238205649,40.69887,-73.8505,,Private room,Woodhaven,Queens
871418642369055707,40.84120626961967,-73.93610279152026,,Private room,Washington Heights,Manhattan
868216255208611744,40.6444249,-74.0020445,,Private room,Sunset Park,Brooklyn
868230945039269409,40.754556116960195,-73.83091114461422,,Entire home/apt,Flushing,Queens
868474870479421673,40.67246765021685,-73.95254627284919,,Private room,Crown Heights,Brooklyn
868477109181268687,40.67264183983759,-73.95225437124152,,Private room,Crown Heights,Brooklyn
868480657659408701,40.67199,-73.95399,,Private room,Crown Heights,Brooklyn
868483861214719143,40.672360625278,-73.95230398935672,,Private room,Crown Heights,Brooklyn
868486577217492874,40.67429900147267,-73.95426962762816,,Private room,Crown Heights,Brooklyn
868488509107014555,40.671959480848706,-73.9535327931227,,Private room,Crown Heights,Brooklyn
868569804607766610,40.7056,-74.00878,,Entire home/apt,Financial District,Manhattan
871541714366244485,40.751756836336256,-73.97202790790034,,Private room,Midtown,Manhattan
871580459593329391,40.7747686,-73.9499656,,Entire home/apt,Upper East Side,Manhattan
871619561329335050,40.7819,-73.97912,,Entire home/apt,Upper West Side,Manhattan
871658809501519241,40.713983306870134,-73.93834683491819,,Entire home/apt,Williamsburg,Brooklyn
871663274448137972,40.68938,-73.75449,,Entire home/apt,St. Albans,Queens
871690724659514256,40.718197273785734,-73.90334351095174,,Private room,Maspeth,Queens
868570078307759732,40.7056,-74.00878,,Entire home/apt,Financial District,Manhattan
868570296963582156,40.7056,-74.00878,,Entire home/apt,Financial District,Manhattan
868570518187338432,40.78969,-73.9744,,Entire home/apt,Upper West Side,Manhattan
868673656780128788,40.674205696995,-73.95270768481406,,Private room,Crown Heights,Brooklyn
868765638450836099,40.7809376254005,-73.97872959223346,,Entire home/apt,Upper West Side,Manhattan
868766002052094233,40.7886,-73.96786,,Entire home/apt,Upper West Side,Manhattan
869036462295459983,40.67426575334899,-73.74447796493769,,Private room,Laurelton,Queens
869073628135619552,40.6818722,-73.981614,,Entire home/apt,Gowanus,Brooklyn
871694470132446535,40.708339,-73.89587790000002,,Private room,Ridgewood,Queens
871703040677169039,40.708339,-73.89587790000002,,Private room,Ridgewood,Queens
871704761882387574,40.708339,-73.89587790000002,,Private room,Ridgewood,Queens
871714936110930463,40.7405,-73.82522,,Entire home/apt,Flushing,Queens
871715183170311780,40.70834,-73.89588,,Private room,Ridgewood,Queens
871715898393504185,40.708339,-73.89587790000002,,Private room,Ridgewood,Queens
871751061108347115,40.67363,-73.803,,Entire home/apt,South Ozone Park,Queens
871803798146386577,40.77026587404186,-73.96683045659337,,Entire home/apt,Upper East Side,Manhattan
871915107924718633,40.80487283036789,-73.9452082506277,,Private room,Harlem,Manhattan
871920706861738130,40.724774168716294,-73.94957819648992,,Entire home/apt,Greenpoint,Brooklyn
869156231243048170,40.7558,-73.99319,,Entire home/apt,Hell's Kitchen,Manhattan
869351964326385706,40.64999,-73.96412,,Private room,Flatbush,Brooklyn
