السنة,الربع,الربع ,المنطقة,المدينة,الحي,نوع العقار,تصنيف العقار,عدد الصكوك ,قيمة الصفقات,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2025,1,الربع الأول,الرياض,الرياض,الزهرة,دوبلكس,سكني,1,1500000,349.57,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الخرج,العالية,أرض,سكني,2,1375000,856.79,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,سلطانة,أرض,تجاري,1,2000000,599.5,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,الروابي,فيلا,سكني,4,8362000,1980,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,الديرة,فيلا,سكني,2,651017,904.6,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,الأندلس,دوبلكس,سكني,4,9350000,1294.78,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,الديرة,أرض,سكني,2,507464,308.85,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,البرية,دور,سكني,1,650000,195.94,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,أم سليم,أرض,سكني,4,1220000,437.26,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,حريملاء,الروضة,أرض,سكني,3,2750000,2320,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,عرقة,أرض,زراعي,1,50992770,13419.15,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,العقيق,مبنى,تجاري,2,30063000,1920.25,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,المنار,أرض,سكني,1,3420000,600,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,المعيزيلة,دوبلكس,سكني,1,1468000,486.95,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,الشرفية,فيلا,سكني,2,5000000,700.47,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,الحزم,مبنى,تجاري,1,596609.97,375,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,المربع,أرض,تجاري,1,43276500,4808.56,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,الشهداء,فيلا,سكني,4,9950000,1337.5,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الخرج,أخرى,فيلا,سكني,2,500000,709.5,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الزلفي,السلام,أرض,سكني,3,1100000,1580.75,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,بدر,أخرى,سكني,1,3450000,1866.5,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الخرج,الجامعة,أرض,تجاري,2,9784215,2795.49,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,التعاون,أرض,تجاري,1,13566000,1140,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,القويعية,أخرى,أرض,تجاري,3,520000,11860,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,النسيم الغربي,دوبلكس,سكني,1,1180000,218.75,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,حطين,أخرى,سكني,1,10000000,2400,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,الربيع,أرض,تجاري,3,189500000,9487.5,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الخرج,السهباء,أرض,سكني,1,145000,711.2,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,الزهراء,أرض,تجاري,1,21250000,2500,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,الملز,فيلا,سكني,4,14600000,2119,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,المزاحمية,أخرى,أخرى,أخرى,2,1430000,2073.83,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,المدينة الصناعية الجديدة,أرض,سكني,2,7680000,4800,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الرياض,الحزم,أرض,تجاري,2,3100000,1326,NULL,NULL,NULL
2025,1,الربع الأول,الرياض,الخرج,البدع,أرض,زراعي,1,800000,6896,NULL,NULL,NULL
