latitude,longitude,name
24.8985938,46.4408404,
24.8829537,46.5601348,
24.8688642,46.5698354,
24.8627179,46.593614,
24.8639248,46.5930102,
24.901335,46.3273654,
24.9014114,46.3235617,
25.003182,46.6005945,منتزة الملك سلمان البري
24.8729888,46.6430414,
24.8705742,46.6333863,
24.7851953,46.6289666,
24.8001086,46.6124309,
24.7854708,46.5988986,
24.7939879,46.5783855,
24.6375755,46.5675275,
24.6639342,46.6366786,
24.6624697,46.6377546,
24.656623,46.6417417,
24.6502284,46.642996,
24.6587689,46.6270526,Al Hada Park
24.6577288,46.6785626,Crown Prince Park
24.6824772,46.6329784,Al A'arid Garden
24.6761707,46.6283388,
24.6811966,46.6163028,
24.6914562,46.6278653,
24.6865879,46.6215799,
24.6802285,46.6304471,Hai Al Safarat Sports Facilities
24.8589093,46.7811663,
24.8628814,46.8099658,
24.8511575,46.8337316,
24.8411475,46.8333419,
24.8840005,46.9172665,
24.8849762,46.9165275,
24.8246802,46.8700715,
24.9492866,46.974136,
24.7545249,46.8515484,
24.7531926,46.8524978,
24.7535162,46.8536077,
24.7538993,46.8541963,
24.7616404,46.866743,
24.7603365,46.8676232,
24.7652091,46.8677596,
24.7659917,46.866781,
24.7957718,46.9004269,
24.7888226,46.8999031,
24.8106176,46.8795302,
24.7656632,46.7991083,
24.7646133,46.799123,
24.7670404,46.8010769,
24.7699633,46.8032827,
24.8037035,46.8087912,
24.7943157,46.7895295,
24.8239503,46.8100333,
24.7462587,46.8483167,
24.7498183,46.8388796,
24.6917701,46.8615908,
24.6947973,46.8596492,
24.6996756,46.8670967,
24.6966447,46.8677933,
24.6951825,46.8681312,
24.7549512,46.866779,MC Park
24.7487402,46.8572599,
25.0912337,46.6686788,
24.5839215,46.7838949,
24.5874075,46.8493067,
24.5914416,46.840495,
24.5961893,46.8648821,
24.5526737,46.8634677,
24.5234505,46.8676062,
24.5219904,46.8666214,
24.5571696,46.805614,
24.5544383,46.8103447,
24.5527127,46.8023369,
24.5534398,46.8110213,
24.5224756,46.6762775,Al Marwah Park
24.5209983,46.6688776,
24.5253233,46.6698069,
24.5249763,46.6747613,
24.5213746,46.6813004,
24.5194097,46.6716948,
24.4493809,46.6127521,
24.4915293,46.5996425,
24.5012105,46.6260068,
24.5599841,46.6724354,
24.5401746,46.7015337,
24.5291764,46.6846553,
24.5423843,46.7030007,
24.5556535,46.7208319,
24.5528884,46.7390879,
24.5706424,46.7227781,
24.6119415,46.754317,
24.6152843,46.7640475,
24.5719029,46.688352,
24.5803293,46.586651,حديقة الدوح
24.6263322,46.6214747,
24.7339386,46.5778476,Al Mareh
24.7513995,46.5596171,
24.6993415,46.6125259,
24.7055996,46.6130579,
24.7077716,46.6082081,
24.6950216,46.602474,
24.6899563,46.5807397,
24.6866749,46.5865329,
24.6896482,46.5983372,
24.6891412,46.595984,
24.6262404,46.8614656,
24.4272909,46.8520242,
24.4211614,46.8351751,
24.4009084,46.8356956,
24.4717285,46.2676566,
24.4648678,46.2681235,
24.4667205,46.2759701,
24.4693612,46.2802324,
24.4683888,46.2834774,Al Andalus Park
24.4668111,46.2786664,
24.4703292,46.27517,
24.4711396,46.2775427,
24.4573553,46.278737,
24.4564677,46.2753838,
24.4516446,46.2748955,
24.4557265,46.269883,
24.4349738,46.3073576,
24.5044684,46.3711536,
24.4687598,46.2818901,
24.4701504,46.2850979,
24.473173,46.283792,
24.4775408,46.2921569,
24.5723427,46.6699677,
24.594295,46.697587,
24.5884489,46.7133022,حديقة اليمامة
24.5880098,46.7113228,
24.7910623,46.7423311,منتزه الشهداء
24.7864006,46.7600809,
24.7814412,46.7613172,
24.7792707,46.7816167,
24.6959982,46.8273616,
24.6971687,46.8291581,
24.6932304,46.8313903,
24.6945275,46.8280328,
24.6934387,46.8286845,
24.6804091,46.8292911,
24.6864504,46.8404248,
24.6778915,46.8172417,Al Shalal Park
24.6792024,46.7818824,
24.6723857,46.8086175,
24.6697833,46.8041233,
24.6798344,46.8105626,
24.6772796,46.8118774,
24.6668842,46.8059973,
24.744598,46.7524685,
24.7692955,46.7392397,
24.6174826,46.7314804,حديقة غبيرة
24.6277546,46.7203957,حديقة العود
24.6491974,46.7116688,
24.7712022,46.7435609,
24.7627854,46.7725064,
24.7748444,46.7924697,
24.7618031,46.7480994,
24.7643498,46.7587556,
24.7825401,46.7104903,
24.8099153,46.7737884,ساحة البلدية بحي اليرموك
24.8125315,46.8022292,حديقة اليرموك
24.8155354,46.7748965,حديقة المونسية
24.8000472,46.7694692,
24.8006078,46.7820032,
24.7980781,46.7793103,
24.7985138,46.7733987,
24.7959937,46.7747424,
24.8003156,46.7726557,
24.7981651,46.764835,
24.7888643,46.7237968,
24.789658,46.7241053,
24.7902571,46.7214979,
24.7918667,46.7193578,
24.7927627,46.7197601,
24.7942505,46.720951,
24.7932911,46.7245854,
24.7934835,46.7254141,
24.7945914,46.7262671,
24.7935175,46.7235527,
24.7941506,46.7233086,
24.7945354,46.723652,
24.8032035,46.7475129,
24.7756701,46.7517711,
24.8533634,46.6368023,
24.8631222,46.648202,
24.5995034,46.6945834,
24.5992498,46.6947899,
24.599162,46.6950877,
24.5993083,46.6954202,
24.5942027,46.6372402,
24.7354212,46.573623,
24.7359948,46.5742615,
24.6304347,46.8915943,
24.6119404,46.7263475,
24.6407508,46.7272179,
24.6448735,46.7076598,
24.6718849,46.7162616,
24.6721143,46.7167819,
24.6724162,46.7167851,
24.6722535,46.7167867,
24.6722695,46.7165149,
24.6724255,46.7164836,
24.6724957,46.7158343,
24.6720213,46.7158184,
24.672038,46.7164456,
24.6729189,46.7167215,
24.8065396,46.7782685,
24.8055999,46.7767598,
24.8063549,46.7772207,
24.7898363,46.7543349,
24.7881732,46.7551409,
24.7879565,46.7544717,
24.8378595,46.7596917,
24.8410824,46.7576522,
24.666544,46.7368455,منتزه الملك عبدالله
24.7758738,46.7784443,خضيراء
24.628763,46.6825135,
24.7295025,46.67514,حديقة الضحى
24.7366358,46.5844395,ميدان الملك سلمان بالدرعية
24.8016141,46.6928835,
24.674867,46.7457569,حديقة السحر
24.3886143,46.8828269,
25.2172808,46.676521,
24.5500702,46.7002538,
24.7866845,46.7008136,
24.7957467,46.7242726,
24.8528943,46.6964126,حديقة الملك عبدالعزيز
25.094096,46.8115103,
24.7581487,46.7492528,
24.7587368,46.7423306,
24.8012787,46.8614581,
24.7467979,46.7930348,
24.7420625,46.7965086,استراحة
24.7871339,46.7275564,
24.7405067,46.796349,
24.7443326,46.794385,
24.5545872,46.5508509,
24.5540897,46.5745995,
24.5532652,46.5930852,
24.6648668,46.61572,
24.6843165,46.6143038,
24.6764766,46.6134324,
24.6759372,46.6202981,
24.6762217,46.6177832,
24.6584837,46.6053692,
24.6355397,46.6727913,
24.6514371,46.6581092,
24.7106129,46.6369424,
24.6891634,46.6263981,
24.7425601,46.537009,
24.6807009,46.7574346,Al Natha Park South
24.6254236,46.7131929,
24.7511911,46.6106769,
24.7462226,46.5763468,
24.7492103,46.5784118,
24.7455821,46.5737416,
24.7609192,46.5758637,
24.6294773,46.6775685,
