dbn,school_name,latitude,longitude,finalgrades
02M475,Stuyvesant High School,40.7177,-74.01399,9 to 12
05M499,Frederick Douglass Academy,40.824319,-73.93712,6 to 12
18K637,Academy for Conservation and the Environment,40.633285,-73.916735,9 to 12
13K605,George Westinghouse Career and Technical Education High School,40.694926,-73.986015,9 to 12
31R455,Tottenville High School,40.528092,-74.192032,9 to 12
23K514,Frederick Douglass Academy VII High School,40.665878,-73.911705,9 to 12
09X412,Bronx High School of Business,40.840422,-73.91091,9 to 12
07X548,Careers in Sports High School,40.82231,-73.923829,9 to 12
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,40.667456,-73.894747,9 to 12
02M543,New Design High School,40.717349,-73.989596,9 to 12
21K690,Brooklyn Studio Secondary School,40.604879,-73.994404,6 to 12
03M494,High School of Arts and Technology,40.774351,-73.984753,9 to 12
17K382,Academy for College Preparation and Career Exploration: A College Board School,40.649787,-73.95855,6 to 12
02M411,Baruch College Campus High School,40.74193,-73.986521,9 to 12
12X684,Wings Academy,40.841794,-73.875366,9 to 12
10X243,West Bronx Academy for the Future,40.860043,-73.888267,6 to 12
10X442,"Celia Cruz Bronx High School of Music, The",40.870293,-73.898309,9 to 12
22K555,Brooklyn College Academy,40.649404,-73.971736,9 to 12
28Q310,Queens Collegiate: A College Board School,40.713218,-73.797237,6 to 12
12X479,Bronx Career and College Preparatory High School,40.827743,-73.900105,9 to 12
15K656,Brooklyn High School of the Arts,40.683559,-73.98027,9 to 12
06M552,Gregorio Luperon High School for Science and Mathematics,40.838167,-73.938642,9 to 12
14K558,Williamsburg High School for Architecture and Design,40.715073,-73.954754,9 to 12
08X269,Bronx Studio School for Writers and Artists,40.820579,-73.893128,6 to 12
25Q281,East-West School of International Studies,40.749545,-73.822073,6 to 12
04M495,Park East High School,40.790543,-73.944356,9 to 12
25Q670,Robert F. Kennedy Community High School,40.725603,-73.810697,9 to 12
09X329,Dreamyard Preparatory School,40.840422,-73.91091,9 to 12
