district,count,median_price_sqm,mean_price_sqm,median_area_sqm,median_price_sar,property_types
لبن,5,5556,5977,462.0,1200000,"Apartment, Plot, Villa"
الخليج,22,5503,6520,427.5,2775000,"Apartment, Plot, Villa"
الرمال - التعمير,1,5490,5490,364.3,2000000,Villa
Al Farouk,1,5400,5400,500.0,2700000,Villa
الدريهمية,3,5118,5039,214.0,1150000,"Apartment, Villa"
Al Suwaidi,1,5050,5050,177.2,895000,Villa
البحيرات,1,5022,5022,896.0,4500000,Villa
الجنادرية,49,5000,5447,250.0,1250000,"Apartment, Plot, Villa"
النظيم,51,5000,4531,312.0,1600000,"Apartment, Plot, Villa"
العريجاء الغربية,14,4915,4656,400.0,1282500,"Building, Plot, Villa"
العريجاء الوسطى,10,4823,4929,400.0,1425000,"Plot, Villa"
الجبيلة,1,4800,4800,500.0,2400000,Plot
Al Munisiyah,1,4783,4783,209.1,1000000,Apartment
صلاح الدين,2,4688,4688,387.5,1781250,"Plot, Villa"
العزيزية,12,4623,4334,275.0,1247000,"Apartment, Plot, Villa"
المرجان,47,4623,4950,270.0,1200000,"Apartment, Plot, Villa"
NAMAR,1,4601,4601,326.0,1500000,Villa
East Naseem,1,4601,4601,163.0,750000,Apartment
An Nahdah,4,4500,5178,1375.0,5725000,"Plot, Villa"
منفوحة,2,4500,4500,990.0,3765000,"Plot, Villa"
السفارات,1,4444,4444,1037.0,4607921,Plot
الملز,16,4422,4514,553.5,2525000,"Plot, Villa"
Tuwaiq,2,4407,4407,251.7,1100000,Villa
العوالي,27,4390,4775,283.9,1650000,"Apartment, Plot, Villa"
طويق,33,4367,4441,219.2,950000,"Apartment, Building, Plot, Villa"
الزهرة,14,4337,4553,138.1,610000,"Apartment, Plot, Villa"
السويدي,11,4327,4112,312.0,1190000,"Apartment, Plot, Villa"
Uqaz,3,4282,3777,303.6,1300000,"Plot, Villa"
الحزم,29,4267,4814,210.7,850000,"Apartment, Building, Plot, Villa"
Al Dar Al Baida,1,4267,4267,375.0,1600000,Villa
Sultanah,1,4225,4225,284.0,1200000,Villa
الندوة,21,4161,5109,160.2,700000,"Apartment, Plot, Villa"
المعيزيلة,2,4150,4150,1212.5,4898750,Plot
المنصورة,2,4107,4107,810.8,3200000,Villa
الفيصلية,3,4097,5810,300.0,2800000,Plot
النسيم الشرقي,13,4010,5966,440.0,1500004,"Apartment, Building, Plot, Villa"
احد,1,3978,3978,108.1,430000,Apartment
Al Yamamah,1,3953,3953,328.8,1300000,Building
Al Bayan,3,3942,4781,250.0,1650000,"Apartment, Plot, Villa"
Namar,1,3866,3866,388.0,1500000,Villa
نمار,6,3773,4847,449.6,1415000,"Apartment, Plot, Villa"
شبرا,4,3750,3677,450.0,1600000,Villa
عكاظ,41,3725,3974,260.0,850000,"Apartment, Plot, Villa"
ديراب,24,3673,4981,197.7,925000,"Apartment, Plot, Villa"
جرير,4,3621,4436,792.5,4400000,"Plot, Villa"
السويدي الغربي,11,3583,4392,600.0,2150000,"Apartment, Building, Plot, Villa"
الخير,24,3547,4129,545.0,1633000,"Plot, Villa"
النسيم الغربي,15,3520,4658,625.0,2000000,"Plot, Villa"
طيبة,14,3507,3381,271.2,925000,"Apartment, Plot, Villa"
Al Janadriyah,1,3502,3502,139.9,490000,Apartment
بدر,61,3500,3794,250.0,1000000,"Apartment, Building, Plot, Villa"
الخالدية,5,3500,3817,604.0,2750000,"Plot, Villa"
الدار البيضاء,31,3500,3940,360.0,1200000,"Apartment, Plot, Villa"
Al Hazm,2,3448,3448,254.4,910000,"Apartment, Villa"
المروة,12,3385,3354,246.8,860000,"Apartment, Plot, Villa"
Qurtubah,2,3303,3303,735.0,2832500,Plot
